Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna	DEPO	IN	Calendar Year Maximum	"$2,250 "		DEPO
Cigna		IN	Calendar Year Deductible	 		DEPO
Cigna		IN	Individual	$25 		DEPO
Cigna		IN	Family	$75 		DEPO
Cigna		IN	Waived for Preventive?	 	Yes	DEPO
Cigna		IN	Class 1 - Preventive	100%		DEPO
Cigna		IN	Class II - Basic	80%		DEPO
Cigna		IN	Class III - Major	50%		DEPO
Cigna		IN	Class IV - Orthodontia	50%		DEPO
Cigna		IN	Orthodontia Lifetime Max	"$1,000 "		DEPO
Cigna		IN	Implant Coverage	 	Yes	DEPO
