Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	DHMO	IN	Office Visit 	$5		Anthem 1
Anthem Blue Cross		IN	Oral Examination 	$5		Anthem 1
Anthem Blue Cross		IN	Full Mouth X-rays 	$5		Anthem 1
Anthem Blue Cross		IN	Prophylaxis (Cleaning)	$5		Anthem 1
Anthem Blue Cross		IN	Amalgam (1 surface) primary/permanent 	$10		Anthem 1
Anthem Blue Cross		IN	Composite (tooth colored) Front Tooth 	$15		Anthem 1
Anthem Blue Cross		IN	Composite (tooth colored) Back Tooth 	$55		Anthem 1
Anthem Blue Cross		IN	Root Canal (3 Canals - Molar) 	$160		Anthem 1
Anthem Blue Cross		IN	Gingivectomy (per quad) 	$125		Anthem 1
Anthem Blue Cross		IN	Gingivectomy (per tooth) 	$25		Anthem 1
Anthem Blue Cross		IN	Osseous Surgery (per quad) 	$250		Anthem 1
Anthem Blue Cross		IN	Scaling/Root Planing (per quad) 	$35		Anthem 1
Anthem Blue Cross		IN	Crown (porcelain w/metal) 	$150		Anthem 1
Anthem Blue Cross		IN	Crown (full cast metal) 	$150		Anthem 1
Anthem Blue Cross		IN	Complete Denture (upper or lower) 	$200		Anthem 1
Anthem Blue Cross		IN	Orthodontia Services Children 	"$1,600"		Anthem 1
Anthem Blue Cross		IN	Orthodontia Services Adults 	"$1,800"		Anthem 1
Anthem Blue Cross		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300		Anthem 1
Anthem Blue Cross	DHMO	IN	Office Visit 	$10		Anthem 2
Anthem Blue Cross		IN	Oral Examination 	$10		Anthem 2
Anthem Blue Cross		IN	Full Mouth X-rays 	$10		Anthem 2
Anthem Blue Cross		IN	Prophylaxis (Cleaning)	$10		Anthem 2
Anthem Blue Cross		IN	Amalgam (1 surface) primary/permanent 	$20		Anthem 2
Anthem Blue Cross		IN	Composite (tooth colored) Front Tooth 	$25		Anthem 2
Anthem Blue Cross		IN	Composite (tooth colored) Back Tooth 	$55		Anthem 2
Anthem Blue Cross		IN	Root Canal (3 Canals - Molar) 	$160		Anthem 2
Anthem Blue Cross		IN	Gingivectomy (per quad) 	$145		Anthem 2
Anthem Blue Cross		IN	Gingivectomy (per tooth) 	$35		Anthem 2
Anthem Blue Cross		IN	Osseous Surgery (per quad) 	$250		Anthem 2
Anthem Blue Cross		IN	Scaling/Root Planing (per quad) 	$45		Anthem 2
Anthem Blue Cross		IN	Crown (porcelain w/metal) 	$200		Anthem 2
Anthem Blue Cross		IN	Crown (full cast metal) 	$200		Anthem 2
Anthem Blue Cross		IN	Complete Denture (upper or lower) 	$250		Anthem 2
Anthem Blue Cross		IN	Orthodontia Services Children 	"$1,600"		Anthem 2
Anthem Blue Cross		IN	Orthodontia Services Adults 	"$1,800"		Anthem 2
Anthem Blue Cross		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300		Anthem 2
