Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna 	DHMO	IN	Office Visit 	$5		Cigna 1
Cigna 		IN	Oral Examination 	$5		Cigna 1
Cigna 		IN	Full Mouth X-rays 	$5		Cigna 1
Cigna 		IN	Prophylaxis (Cleaning)	$5		Cigna 1
Cigna 		IN	Amalgam (1 surface) primary/permanent 	$10		Cigna 1
Cigna 		IN	Composite (tooth colored) Front Tooth 	$15		Cigna 1
Cigna 		IN	Composite (tooth colored) Back Tooth 	$55		Cigna 1
Cigna 		IN	Root Canal (3 Canals - Molar) 	$160		Cigna 1
Cigna 		IN	Gingivectomy (per quad) 	$125		Cigna 1
Cigna 		IN	Gingivectomy (per tooth) 	$25		Cigna 1
Cigna 		IN	Osseous Surgery (per quad) 	$250		Cigna 1
Cigna 		IN	Scaling/Root Planing (per quad) 	$35		Cigna 1
Cigna 		IN	Crown (porcelain w/metal) 	$150		Cigna 1
Cigna 		IN	Crown (full cast metal) 	$150		Cigna 1
Cigna 		IN	Complete Denture (upper or lower) 	$200		Cigna 1
Cigna 		IN	Orthodontia Services Children 	"$1,600"		Cigna 1
Cigna 		IN	Orthodontia Services Adults 	"$1,800"		Cigna 1
Cigna 		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300		Cigna 1
Cigna 	DHMO	IN	Office Visit 	$10		Cigna 2
Cigna 		IN	Oral Examination 	$10		Cigna 2
Cigna 		IN	Full Mouth X-rays 	$10		Cigna 2
Cigna 		IN	Prophylaxis (Cleaning)	$10		Cigna 2
Cigna 		IN	Amalgam (1 surface) primary/permanent 	$20		Cigna 2
Cigna 		IN	Composite (tooth colored) Front Tooth 	$25		Cigna 2
Cigna 		IN	Composite (tooth colored) Back Tooth 	$55		Cigna 2
Cigna 		IN	Root Canal (3 Canals - Molar) 	$160		Cigna 2
Cigna 		IN	Gingivectomy (per quad) 	$145		Cigna 2
Cigna 		IN	Gingivectomy (per tooth) 	$35		Cigna 2
Cigna 		IN	Osseous Surgery (per quad) 	$250		Cigna 2
Cigna 		IN	Scaling/Root Planing (per quad) 	$45		Cigna 2
Cigna 		IN	Crown (porcelain w/metal) 	$200		Cigna 2
Cigna 		IN	Crown (full cast metal) 	$200		Cigna 2
Cigna 		IN	Complete Denture (upper or lower) 	$250		Cigna 2
Cigna 		IN	Orthodontia Services Children 	"$1,600"		Cigna 2
Cigna 		IN	Orthodontia Services Adults 	"$1,800"		Cigna 2
Cigna 		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300		Cigna 2
