Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian	DHMO	IN	Office Visit 	$5		Guardian 1
Guardian		IN	Oral Examination 	$5		Guardian 1
Guardian		IN	Full Mouth X-rays 	$5		Guardian 1
Guardian		IN	Prophylaxis (Cleaning)	$5		Guardian 1
Guardian		IN	Amalgam (1 surface) primary/permanent 	$10		Guardian 1
Guardian		IN	Composite (tooth colored) Front Tooth 	$15		Guardian 1
Guardian		IN	Composite (tooth colored) Back Tooth 	$55		Guardian 1
Guardian		IN	Root Canal (3 Canals - Molar) 	$160		Guardian 1
Guardian		IN	Gingivectomy (per quad) 	$125		Guardian 1
Guardian		IN	Gingivectomy (per tooth) 	$25		Guardian 1
Guardian		IN	Osseous Surgery (per quad) 	$250		Guardian 1
Guardian		IN	Scaling/Root Planing (per quad) 	$35		Guardian 1
Guardian		IN	Crown (porcelain w/metal) 	$150		Guardian 1
Guardian		IN	Crown (full cast metal) 	$150		Guardian 1
Guardian		IN	Complete Denture (upper or lower) 	$200		Guardian 1
Guardian		IN	Orthodontia Services Children 	"$1,600"		Guardian 1
Guardian		IN	Orthodontia Services Adults 	"$1,800"		Guardian 1
Guardian		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300		Guardian 1
Guardian	DHMO	IN	Office Visit 	$10		Guardian 2
Guardian		IN	Oral Examination 	$10		Guardian 2
Guardian		IN	Full Mouth X-rays 	$10		Guardian 2
Guardian		IN	Prophylaxis (Cleaning)	$10		Guardian 2
Guardian		IN	Amalgam (1 surface) primary/permanent 	$20		Guardian 2
Guardian		IN	Composite (tooth colored) Front Tooth 	$25		Guardian 2
Guardian		IN	Composite (tooth colored) Back Tooth 	$55		Guardian 2
Guardian		IN	Root Canal (3 Canals - Molar) 	$160		Guardian 2
Guardian		IN	Gingivectomy (per quad) 	$145		Guardian 2
Guardian		IN	Gingivectomy (per tooth) 	$35		Guardian 2
Guardian		IN	Osseous Surgery (per quad) 	$250		Guardian 2
Guardian		IN	Scaling/Root Planing (per quad) 	$45		Guardian 2
Guardian		IN	Crown (porcelain w/metal) 	$200		Guardian 2
Guardian		IN	Crown (full cast metal) 	$200		Guardian 2
Guardian		IN	Complete Denture (upper or lower) 	$250		Guardian 2
Guardian		IN	Orthodontia Services Children 	"$1,600"		Guardian 2
Guardian		IN	Orthodontia Services Adults 	"$1,800"		Guardian 2
Guardian		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300		Guardian 2
