Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
MetLife	DHMO	IN	Office Visit 	$5 		Met Life 1
MetLife		IN	Oral Examination 	$5 		Met Life 1
MetLife		IN	Full Mouth X-rays 	$5 		Met Life 1
MetLife		IN	Prophylaxis (Cleaning)	$5 		Met Life 1
MetLife		IN	Amalgam (1 surface) primary/permanent 	$10 		Met Life 1
MetLife		IN	Composite (tooth colored) Front Tooth 	$15 		Met Life 1
MetLife		IN	Composite (tooth colored) Back Tooth 	$55 		Met Life 1
MetLife		IN	Root Canal (3 Canals - Molar) 	$160 		Met Life 1
MetLife		IN	Gingivectomy (per quad) 	$125 		Met Life 1
MetLife		IN	Gingivectomy (per tooth) 	$25 		Met Life 1
MetLife		IN	Osseous Surgery (per quad) 	$250 		Met Life 1
MetLife		IN	Scaling/Root Planing (per quad) 	$35 		Met Life 1
MetLife		IN	Crown (porcelain w/metal) 	$150 		Met Life 1
MetLife		IN	Crown (full cast metal) 	$150 		Met Life 1
MetLife		IN	Complete Denture (upper or lower) 	$200 		Met Life 1
MetLife		IN	Orthodontia Services Children 	"$1,600 "		Met Life 1
MetLife		IN	Orthodontia Services Adults 	"$1,800 "		Met Life 1
MetLife		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300 		Met Life 1
MetLife	DHMO	IN	Office Visit 	$10 		Met Life 2
MetLife		IN	Oral Examination 	$10 		Met Life 2
MetLife		IN	Full Mouth X-rays 	$10 		Met Life 2
MetLife		IN	Prophylaxis (Cleaning)	$10 		Met Life 2
MetLife		IN	Amalgam (1 surface) primary/permanent 	$20 		Met Life 2
MetLife		IN	Composite (tooth colored) Front Tooth 	$25 		Met Life 2
MetLife		IN	Composite (tooth colored) Back Tooth 	$55 		Met Life 2
MetLife		IN	Root Canal (3 Canals - Molar) 	$160 		Met Life 2
MetLife		IN	Gingivectomy (per quad) 	$145 		Met Life 2
MetLife		IN	Gingivectomy (per tooth) 	$35 		Met Life 2
MetLife		IN	Osseous Surgery (per quad) 	$250 		Met Life 2
MetLife		IN	Scaling/Root Planing (per quad) 	$45 		Met Life 2
MetLife		IN	Crown (porcelain w/metal) 	$200 		Met Life 2
MetLife		IN	Crown (full cast metal) 	$200 		Met Life 2
MetLife		IN	Complete Denture (upper or lower) 	$250 		Met Life 2
MetLife		IN	Orthodontia Services Children 	"$1,600 "		Met Life 2
MetLife		IN	Orthodontia Services Adults 	"$1,800 "		Met Life 2
MetLife		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300 		Met Life 2
