Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
United Concordia	DHMO	IN	Office Visit 	$5 		UCCI 1
United Concordia		IN	Oral Examination 	$5 		UCCI 1
United Concordia		IN	Full Mouth X-rays 	$5 		UCCI 1
United Concordia		IN	Prophylaxis (Cleaning)	$5 		UCCI 1
United Concordia		IN	Amalgam (1 surface) primary/permanent 	$10 		UCCI 1
United Concordia		IN	Composite (tooth colored) Front Tooth 	$15 		UCCI 1
United Concordia		IN	Composite (tooth colored) Back Tooth 	$55 		UCCI 1
United Concordia		IN	Root Canal (3 Canals - Molar) 	$160 		UCCI 1
United Concordia		IN	Gingivectomy (per quad) 	$125 		UCCI 1
United Concordia		IN	Gingivectomy (per tooth) 	$25 		UCCI 1
United Concordia		IN	Osseous Surgery (per quad) 	$250 		UCCI 1
United Concordia		IN	Scaling/Root Planing (per quad) 	$35 		UCCI 1
United Concordia		IN	Crown (porcelain w/metal) 	$150 		UCCI 1
United Concordia		IN	Crown (full cast metal) 	$150 		UCCI 1
United Concordia		IN	Complete Denture (upper or lower) 	$200 		UCCI 1
United Concordia		IN	Orthodontia Services Children 	"$1,600 "		UCCI 1
United Concordia		IN	Orthodontia Services Adults 	"$1,800 "		UCCI 1
United Concordia		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300 		UCCI 1
United Concordia	DHMO	IN	Office Visit 	$10 		UCCI 2
United Concordia		IN	Oral Examination 	$10 		UCCI 2
United Concordia		IN	Full Mouth X-rays 	$10 		UCCI 2
United Concordia		IN	Prophylaxis (Cleaning)	$10 		UCCI 2
United Concordia		IN	Amalgam (1 surface) primary/permanent 	$20 		UCCI 2
United Concordia		IN	Composite (tooth colored) Front Tooth 	$25 		UCCI 2
United Concordia		IN	Composite (tooth colored) Back Tooth 	$55 		UCCI 2
United Concordia		IN	Root Canal (3 Canals - Molar) 	$160 		UCCI 2
United Concordia		IN	Gingivectomy (per quad) 	$145 		UCCI 2
United Concordia		IN	Gingivectomy (per tooth) 	$35 		UCCI 2
United Concordia		IN	Osseous Surgery (per quad) 	$250 		UCCI 2
United Concordia		IN	Scaling/Root Planing (per quad) 	$45 		UCCI 2
United Concordia		IN	Crown (porcelain w/metal) 	$200 		UCCI 2
United Concordia		IN	Crown (full cast metal) 	$200 		UCCI 2
United Concordia		IN	Complete Denture (upper or lower) 	$250 		UCCI 2
United Concordia		IN	Orthodontia Services Children 	"$1,600 "		UCCI 2
United Concordia		IN	Orthodontia Services Adults 	"$1,800 "		UCCI 2
United Concordia		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300 		UCCI 2
