Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Delta Dental 	DPPO	IN	Calendar Year Maximum	"$2,250"		Delta 1
Delta Dental 		IN	Calendar Year Deductible	 		Delta 1
Delta Dental 		IN	Individual	$25		Delta 1
Delta Dental 		IN	Family	$75		Delta 1
Delta Dental 		IN	Waived for Preventive?		Yes	Delta 1
Delta Dental 		IN	Class 1 - Preventive	100%		Delta 1
Delta Dental 		IN	Class II - Basic	80%		Delta 1
Delta Dental 		IN	Class III - Major	50%		Delta 1
Delta Dental 		IN	Class IV - Orthodontia	50%		Delta 1
Delta Dental 		IN	Orthodontia Lifetime Max	"$1,000"		Delta 1
Delta Dental 		IN	Out of Network Reimbursement		90th	Delta 1
Delta Dental 		IN	Implant Coverage		Yes	Delta 1
Delta Dental 		OUT	Calendar Year Maximum	"$2,250"		Delta 1
Delta Dental 		OUT	Calendar Year Deductible	 		Delta 1
Delta Dental 		OUT	Individual	$25		Delta 1
Delta Dental 		OUT	Family	$75		Delta 1
Delta Dental 		OUT	Waived for Preventive?		Yes	Delta 1
Delta Dental 		OUT	Class 1 - Preventive	100%		Delta 1
Delta Dental 		OUT	Class II - Basic	80%		Delta 1
Delta Dental 		OUT	Class III - Major	50%		Delta 1
Delta Dental 		OUT	Class IV - Orthodontia	50%		Delta 1
Delta Dental 		OUT	Orthodontia Lifetime Max	"$1,000"		Delta 1
Delta Dental 		OUT	Out of Network Reimbursement		90th	Delta 1
Delta Dental 		OUT	Implant Coverage		Yes	Delta 1
Delta Dental 	DPPO	IN	Calendar Year Maximum	"$2,000"		Delta 2
Delta Dental 		IN	Calendar Year Deductible			Delta 2
Delta Dental 		IN	Individual	$50		Delta 2
Delta Dental 		IN	Family	$100		Delta 2
Delta Dental 		IN	Waived for Preventive?		Yes	Delta 2
Delta Dental 		IN	Class 1 - Preventive	100%		Delta 2
Delta Dental 		IN	Class II - Basic	80%		Delta 2
Delta Dental 		IN	Class III - Major	50%		Delta 2
Delta Dental 		IN	Class IV - Orthodontia	50%		Delta 2
Delta Dental 		IN	Orthodontia Lifetime Max	"$1,000"		Delta 2
Delta Dental 		IN	Out of Network Reimbursement		80th	Delta 2
Delta Dental 		IN	Implant Coverage		Yes	Delta 2
Delta Dental 		OUT	Calendar Year Maximum	"$1,500"		Delta 2
Delta Dental 		OUT	Calendar Year Deductible			Delta 2
Delta Dental 		OUT	Individual	$50		Delta 2
Delta Dental 		OUT	Family	$150		Delta 2
Delta Dental 		OUT	Waived for Preventive?		Yes	Delta 2
Delta Dental 		OUT	Class 1 - Preventive	100%		Delta 2
Delta Dental 		OUT	Class II - Basic	80%		Delta 2
Delta Dental 		OUT	Class III - Major	50%		Delta 2
Delta Dental 		OUT	Class IV - Orthodontia	50%		Delta 2
Delta Dental 		OUT	Orthodontia Lifetime Max	"$1,000"		Delta 2
Delta Dental 		OUT	Out of Network Reimbursement		80th	Delta 2
Delta Dental 		OUT	Implant Coverage		Yes	Delta 2
