Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian 	DPPO	IN	Calendar Year Maximum	"$2,250"		Guardian 1
Guardian 		IN	Calendar Year Deductible	 		Guardian 1
Guardian 		IN	Individual	$25		Guardian 1
Guardian 		IN	Family	$75		Guardian 1
Guardian 		IN	Waived for Preventive?		Yes	Guardian 1
Guardian 		IN	Class 1 - Preventive	100%		Guardian 1
Guardian 		IN	Class II - Basic	80%		Guardian 1
Guardian 		IN	Class III - Major	50%		Guardian 1
Guardian 		IN	Class IV - Orthodontia	50%		Guardian 1
Guardian 		IN	Orthodontia Lifetime Max	"$1,000"		Guardian 1
Guardian 		IN	Out of Network Reimbursement		90th	Guardian 1
Guardian 		IN	Implant Coverage		Yes	Guardian 1
Guardian 		OUT	Calendar Year Maximum	"$2,250"		Guardian 1
Guardian 		OUT	Calendar Year Deductible	 		Guardian 1
Guardian 		OUT	Individual	$25		Guardian 1
Guardian 		OUT	Family	$75		Guardian 1
Guardian 		OUT	Waived for Preventive?		Yes	Guardian 1
Guardian 		OUT	Class 1 - Preventive	100%		Guardian 1
Guardian 		OUT	Class II - Basic	80%		Guardian 1
Guardian 		OUT	Class III - Major	50%		Guardian 1
Guardian 		OUT	Class IV - Orthodontia	50%		Guardian 1
Guardian 		OUT	Orthodontia Lifetime Max	"$1,000"		Guardian 1
Guardian 		OUT	Out of Network Reimbursement		90th	Guardian 1
Guardian 		OUT	Implant Coverage		Yes	Guardian 1
Guardian 	DPPO	IN	Calendar Year Maximum	"$2,000"		Guardian 2
Guardian 		IN	Calendar Year Deductible			Guardian 2
Guardian 		IN	Individual	$50		Guardian 2
Guardian 		IN	Family	$100		Guardian 2
Guardian 		IN	Waived for Preventive?		Yes	Guardian 2
Guardian 		IN	Class 1 - Preventive	100%		Guardian 2
Guardian 		IN	Class II - Basic	80%		Guardian 2
Guardian 		IN	Class III - Major	50%		Guardian 2
Guardian 		IN	Class IV - Orthodontia	50%		Guardian 2
Guardian 		IN	Orthodontia Lifetime Max	"$1,000"		Guardian 2
Guardian 		IN	Out of Network Reimbursement		80th	Guardian 2
Guardian 		IN	Implant Coverage		Yes	Guardian 2
Guardian 		OUT	Calendar Year Maximum	"$1,500"		Guardian 2
Guardian 		OUT	Calendar Year Deductible			Guardian 2
Guardian 		OUT	Individual	$50		Guardian 2
Guardian 		OUT	Family	$150		Guardian 2
Guardian 		OUT	Waived for Preventive?		Yes	Guardian 2
Guardian 		OUT	Class 1 - Preventive	100%		Guardian 2
Guardian 		OUT	Class II - Basic	80%		Guardian 2
Guardian 		OUT	Class III - Major	50%		Guardian 2
Guardian 		OUT	Class IV - Orthodontia	50%		Guardian 2
Guardian 		OUT	Orthodontia Lifetime Max	"$1,000"		Guardian 2
Guardian 		OUT	Out of Network Reimbursement		80th	Guardian 2
Guardian 		OUT	Implant Coverage		Yes	Guardian 2
