Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
MetLife	DPPO	IN	Calendar Year Maximum	"$2,250 "		Met life 1
MetLife		IN	Calendar Year Deductible	 		Met life 1
MetLife		IN	Individual	$25 		Met life 1
MetLife		IN	Family	$75 		Met life 1
MetLife		IN	Waived for Preventive?		Yes	Met life 1
MetLife		IN	Class 1 - Preventive	100%		Met life 1
MetLife		IN	Class II - Basic	80%		Met life 1
MetLife		IN	Class III - Major	50%		Met life 1
MetLife		IN	Class IV - Orthodontia	50%		Met life 1
MetLife		IN	Orthodontia Lifetime Max	"$1,000 "		Met life 1
MetLife		IN	Out of Network Reimbursement		90th	Met life 1
MetLife		IN	Implant Coverage		Yes	Met life 1
MetLife		OUT	Calendar Year Maximum	"$2,250 "		Met life 1
MetLife		OUT	Calendar Year Deductible	 		Met life 1
MetLife		OUT	Individual	$25 		Met life 1
MetLife		OUT	Family	$75 		Met life 1
MetLife		OUT	Waived for Preventive?		Yes	Met life 1
MetLife		OUT	Class 1 - Preventive	100%		Met life 1
MetLife		OUT	Class II - Basic	80%		Met life 1
MetLife		OUT	Class III - Major	50%		Met life 1
MetLife		OUT	Class IV - Orthodontia	50%		Met life 1
MetLife		OUT	Orthodontia Lifetime Max	"$1,000 "		Met life 1
MetLife		OUT	Out of Network Reimbursement		90th	Met life 1
MetLife		OUT	Implant Coverage		Yes	Met life 1
MetLife	DPPO	IN	Calendar Year Maximum	"$2,000 "		Met Life 2
MetLife		IN	Calendar Year Deductible			Met Life 2
MetLife		IN	Individual	$50 		Met Life 2
MetLife		IN	Family	$100 		Met Life 2
MetLife		IN	Waived for Preventive?		Yes	Met Life 2
MetLife		IN	Class 1 - Preventive	100%		Met Life 2
MetLife		IN	Class II - Basic	80%		Met Life 2
MetLife		IN	Class III - Major	50%		Met Life 2
MetLife		IN	Class IV - Orthodontia	50%		Met Life 2
MetLife		IN	Orthodontia Lifetime Max	"$1,000 "		Met Life 2
MetLife		IN	Out of Network Reimbursement		80th	Met Life 2
MetLife		IN	Implant Coverage		Yes	Met Life 2
MetLife		OUT	Calendar Year Maximum	"$1,500 "		Met Life 2
MetLife		OUT	Calendar Year Deductible			Met Life 2
MetLife		OUT	Individual	$50 		Met Life 2
MetLife		OUT	Family	$150 		Met Life 2
MetLife		OUT	Waived for Preventive?		Yes	Met Life 2
MetLife		OUT	Class 1 - Preventive	100%		Met Life 2
MetLife		OUT	Class II - Basic	80%		Met Life 2
MetLife		OUT	Class III - Major	50%		Met Life 2
MetLife		OUT	Class IV - Orthodontia	50%		Met Life 2
MetLife		OUT	Orthodontia Lifetime Max	"$1,000 "		Met Life 2
MetLife		OUT	Out of Network Reimbursement		80th	Met Life 2
MetLife		OUT	Implant Coverage		Yes	Met Life 2
