Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
United Concordia	DPPO	IN	Calendar Year Maximum	"$2,250 "		UCCI 1
United Concordia		IN	Calendar Year Deductible	 		UCCI 1
United Concordia		IN	Individual	$25 		UCCI 1
United Concordia		IN	Family	$75 		UCCI 1
United Concordia		IN	Waived for Preventive?		Yes	UCCI 1
United Concordia		IN	Class 1 - Preventive	100%		UCCI 1
United Concordia		IN	Class II - Basic	80%		UCCI 1
United Concordia		IN	Class III - Major	50%		UCCI 1
United Concordia		IN	Class IV - Orthodontia	50%		UCCI 1
United Concordia		IN	Orthodontia Lifetime Max	"$1,000 "		UCCI 1
United Concordia		IN	Out of Network Reimbursement		90th	UCCI 1
United Concordia		IN	Implant Coverage		Yes	UCCI 1
United Concordia		OUT	Calendar Year Maximum	"$2,250 "		UCCI 1
United Concordia		OUT	Calendar Year Deductible	 		UCCI 1
United Concordia		OUT	Individual	$25 		UCCI 1
United Concordia		OUT	Family	$75 		UCCI 1
United Concordia		OUT	Waived for Preventive?		Yes	UCCI 1
United Concordia		OUT	Class 1 - Preventive	100%		UCCI 1
United Concordia		OUT	Class II - Basic	80%		UCCI 1
United Concordia		OUT	Class III - Major	50%		UCCI 1
United Concordia		OUT	Class IV - Orthodontia	50%		UCCI 1
United Concordia		OUT	Orthodontia Lifetime Max	"$1,000 "		UCCI 1
United Concordia		OUT	Out of Network Reimbursement		90th	UCCI 1
United Concordia		OUT	Implant Coverage		Yes	UCCI 1
United Concordia	DPPO	IN	Calendar Year Maximum	"$2,000 "		UCC! 2
United Concordia		IN	Calendar Year Deductible			UCC! 2
United Concordia		IN	Individual	$50 		UCC! 2
United Concordia		IN	Family	$100 		UCC! 2
United Concordia		IN	Waived for Preventive?		Yes	UCC! 2
United Concordia		IN	Class 1 - Preventive	100%		UCC! 2
United Concordia		IN	Class II - Basic	80%		UCC! 2
United Concordia		IN	Class III - Major	50%		UCC! 2
United Concordia		IN	Class IV - Orthodontia	50%		UCC! 2
United Concordia		IN	Orthodontia Lifetime Max	"$1,000 "		UCC! 2
United Concordia		IN	Out of Network Reimbursement		80th	UCC! 2
United Concordia		IN	Implant Coverage		Yes	UCC! 2
United Concordia		OUT	Calendar Year Maximum	"$1,500 "		UCC! 2
United Concordia		OUT	Calendar Year Deductible			UCC! 2
United Concordia		OUT	Individual	$50 		UCC! 2
United Concordia		OUT	Family	$150 		UCC! 2
United Concordia		OUT	Waived for Preventive?		Yes	UCC! 2
United Concordia		OUT	Class 1 - Preventive	100%		UCC! 2
United Concordia		OUT	Class II - Basic	80%		UCC! 2
United Concordia		OUT	Class III - Major	50%		UCC! 2
United Concordia		OUT	Class IV - Orthodontia	50%		UCC! 2
United Concordia		OUT	Orthodontia Lifetime Max	"$1,000 "		UCC! 2
United Concordia		OUT	Out of Network Reimbursement		80th	UCC! 2
United Concordia		OUT	Implant Coverage		Yes	UCC! 2
