Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	HMO	AVN HMO	Basic HMO	Deductible HMO
Aetna	HMO $10	IN	Individual Deductible	$0 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Family Deductible	$0 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Individual OOP Limit	"$1,500 "	Rx copays/coinsurance not included 	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Family OOP Limit	"$3,000 "	Rx copays/coinsurance not included 	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Co-insurance	100%		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	PCP	$10 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Specialist	$10 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Preventive Care	100%		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Physical Therapy	$10 	30 visits per calendar year	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Chiropractic Care	$15 	20 visits per calendar year	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Inpatient Hospital	$100 	Per admit	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Outpatient Facility	100%		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Outpatient Surgery	$100 	per occurance	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Lab/X-Ray	100%	X-Ray $10 copay	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Advanced Radiology	$100 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Emergency Room	$100 	waived if admitted	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Ambulance	$100 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Urgent Care	$35 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Generic	$10 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Preferred	$20 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Non-Preferred	$35 		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Specialty	20%	up to $150 maximum copay	CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Mail Order	2x		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Individual Deductible			CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Rx Family Deductible			CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10	IN	Skilled Nursing	N/A		CA HMO 10	CA HMO 10	CA HMO 10	
Aetna	HMO $10A	IN	Individual Deductible	$0 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Family Deductible	$0 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Individual OOP Limit	"$1,500 "	Rx copays/coinsurance not included 	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Family OOP Limit	"$3,000 "	Rx copays/coinsurance not included 	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Co-insurance	100%		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	PCP	$10 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Specialist	$10 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Preventive Care	100%		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Physical Therapy	$10 	30 visits per calendar year	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Inpatient Hospital	$100 	Per admit	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Outpatient Facility	100%		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Outpatient Surgery	$100 	per occurance	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Lab/X-Ray	100%	X-Ray $10 copay	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Advanced Radiology	$100 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Emergency Room	$100 	waived if admitted	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Ambulance	$100 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Urgent Care	$35 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Generic	$15 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Preferred	$25 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Non-Preferred	$40 		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Mail Order	2x		HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Individual Deductible			HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Rx Family Deductible			HMO $10A	HMO $10A		
Aetna	HMO $10A	IN	Skilled Nursing	N/A		HMO $10A	HMO $10A		
Aetna	HMO $15	IN	Individual Deductible	$0 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Family Deductible	$0 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Individual OOP Limit	"$2,500 "	Rx copays/coinsurance not included 	HMO $15	HMO $15		
Aetna	HMO $15	IN	Family OOP Limit	"$5,000 "	Rx copays/coinsurance not included 	HMO $15	HMO $15		
Aetna	HMO $15	IN	Co-insurance	100%		HMO $15	HMO $15		
Aetna	HMO $15	IN	PCP	$15 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Specialist	$15 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Preventive Care	100%		HMO $15	HMO $15		
Aetna	HMO $15	IN	Physical Therapy	$15 	30 visits per calendar year	HMO $15	HMO $15		
Aetna	HMO $15	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $15	HMO $15		
Aetna	HMO $15	IN	Inpatient Hospital	$250 	Per admit	HMO $15	HMO $15		
Aetna	HMO $15	IN	Outpatient Facility	100%		HMO $15	HMO $15		
Aetna	HMO $15	IN	Outpatient Surgery	$200 	per occurance	HMO $15	HMO $15		
Aetna	HMO $15	IN	Lab/X-Ray	100%	X-Ray $15 copay	HMO $15	HMO $15		
Aetna	HMO $15	IN	Advanced Radiology	$100 	 	HMO $15	HMO $15		
Aetna	HMO $15	IN	Emergency Room	$100 	waived if admitted	HMO $15	HMO $15		
Aetna	HMO $15	IN	Ambulance	$100 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Urgent Care	$35 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Generic	$10 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Preferred	$20 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Non-Preferred	$35 		HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Specialty	20%	up to $150 maximum copay	HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Mail Order	2x		HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Individual Deductible			HMO $15	HMO $15		
Aetna	HMO $15	IN	Rx Family Deductible			HMO $15	HMO $15		
Aetna	HMO $15	IN	Skilled Nursing	N/A		HMO $15	HMO $15		
Aetna	HMO $15A	IN	Individual Deductible	$0 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Family Deductible	$0 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Individual OOP Limit	"$2,000 "	Rx copays/coinsurance not included 	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Family OOP Limit	"$4,000 "	Rx copays/coinsurance not included 	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Co-insurance	100%		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Specialist	$15 		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Physical Therapy	$15 	30 visits per calendar year	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Chiropractic Care	$15 	20 visits per calendar year	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Inpatient Hospital	$250 	Per admit	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Outpatient Facility	100%		HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Outpatient Surgery	$200 	per occurance	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Lab/X-Ray	100%	X-Ray $15 copay	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Advanced Radiology	$100 	 	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Emergency Room	$100 	waived if admitted	HMO $15A	HMO $15A	HMO $15A	
Aetna	HMO $15A	IN	Ambulance	$100 		HMO $15A	HMO $15A	HMO $15A	
