Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Traditional	Select	Select +
Anthem Blue Cross	Premier HMO 10/100%	IN	Individual Deductible	$0 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Family Deductible	$0 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Individual OOP Limit	"$1,500 "		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Family OOP Limit	"$3,000 "		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Co-insurance	100%		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	PCP	$10 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Specialist	$10 		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Preventive Care	100%		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Physical Therapy	$10 	Limited to 60-day period of care	Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Chiropractic Care		Rider available	Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Inpatient Hospital	100%		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Outpatient Facility	100%		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Outpatient Surgery	100%		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
Anthem Blue Cross	Premier HMO 10/100%	IN	Lab/X-Ray	100%		Premier HMO 10/100%	Premier HMO 10/100%	Premier HMO 10/100%
