Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Full Network	Select Network	Value Network
Cigna	A	IN	Individual Deductible	0		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Family Deductible	0		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Individual OOP Limit	"$1,000 "	Includes all copays except Rx	HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Family OOP Limit	"$2,000 "	Includes all copays except Rx	HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Co-insurance	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	PCP	$10 		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Specialist	$10 		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	 Preventive Care	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Physical Therapy	$10 	Unlimited max	HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Chiropractic Care	$10 	20 visit max	HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Inpatient Hospital	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Outpatient Facility	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Outpatient Surgery	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Lab/X-Ray	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Advanced Radiology	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Emergency Room	$100 	waived if admitted 	HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Ambulance	100%		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Urgent Care	$25 		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Generic	$10 		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Preferred	$20 		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Non-Preferred	$40 		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Specialty	n/a		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Mail Order	2x		HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Individual Deductible			HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Rx Family Deductible			HMO Plan A	HMO Plan A	HMO Plan A
Cigna	A	IN	Skilled Nursing	100%	100 day max	HMO Plan A	HMO Plan A	HMO Plan A
Cigna	B	IN	Individual Deductible	$0 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Family Deductible	$0 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Individual OOP Limit	"$1,500 "	Includes all copays except Rx	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Family OOP Limit	"$3,000 "	Includes all copays except Rx	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Co-insurance	100%		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	PCP	$10 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Specialist	$20 		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Preventive Care	100%		HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Physical Therapy	$20 	Unlimited max	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Chiropractic Care	$10 	20 visit max	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Inpatient Hospital	$250 	Per admission	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Outpatient Facility	$125 	Per occurance	HMO Plan B	HMO Plan B	HMO Plan B
Cigna	B	IN	Outpatient Surgery	$125 	Per occurance	HMO Plan B	HMO Plan B	HMO Plan B
