Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Signature	Advantage	Alliance
United Health Care		IN	Individual Deductible	$0 		KA0	KIW	KS1
United Health Care		IN	Family Deductible	$0 		KA0	KIW	KS1
United Health Care		IN	Individual OOP Limit	"$1,500 "		KA0	KIW	KS1
United Health Care		IN	Family OOP Limit	"$3,000 "		KA0	KIW	KS1
United Health Care		IN	Co-insurance	100%		KA0	KIW	KS1
United Health Care		IN	PCP	$10		KA0	KIW	KS1
United Health Care			Specialist	$10		KA0	KIW	KS1
United Health Care		IN	Preventive Care	100%		KA0	KIW	KS1
United Health Care		IN	Physical Therapy	$10 		KA0	KIW	KS1
United Health Care		IN	Chiropractic Care		Rider available	KA0	KIW	KS1
United Health Care		IN	Inpatient Hospital	100%		KA0	KIW	KS1
United Health Care		IN	Outpatient Facility	100%		KA0	KIW	KS1
United Health Care		IN	Outpatient Surgery	100%		KA0	KIW	KS1
United Health Care		IN	Lab/X-Ray	100%		KA0	KIW	KS1
United Health Care		IN	Advanced Radiology	$100 		KA0	KIW	KS1
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KA0	KIW	KS1
United Health Care		IN	Ambulance	$100 		KA0	KIW	KS1
United Health Care		IN	Urgent Care	$10 		KA0	KIW	KS1
United Health Care		IN	Rx Generic		Separate from Medical 	KA0	KIW	KS1
United Health Care		IN	Rx Preferred		Separate from Medical 	KA0	KIW	KS1
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KA0	KIW	KS1
United Health Care		IN	Rx Specialty		Separate from Medical 	KA0	KIW	KS1
United Health Care		IN	Rx Mail Order	2x		KA0	KIW	KS1
United Health Care		IN	Rx Individual Deductible			KA0	KIW	KS1
United Health Care		IN	Rx Family Deductible			KA0	KIW	KS1
United Health Care		IN	Skilled Nursing			KA0	KIW	KS1
United Health Care		IN	Individual Deductible	$0 		KA3	JK0	KS4
United Health Care		IN	Family Deductible	$0 		KA3	JK0	KS4
United Health Care		IN	Individual OOP Limit	"$1,500 "		KA3	JK0	KS4
United Health Care		IN	Family OOP Limit	"$3,000 "		KA3	JK0	KS4
United Health Care		IN	Co-insurance	100%		KA3	JK0	KS4
United Health Care		IN	PCP	$10		KA3	JK0	KS4
United Health Care			Specialist	$10		KA3	JK0	KS4
United Health Care		IN	Preventive Care	100%		KA3	JK0	KS4
United Health Care		IN	Physical Therapy	$10 		KA3	JK0	KS4
United Health Care		IN	Chiropractic Care		Rider available	KA3	JK0	KS4
United Health Care		IN	Inpatient Hospital	$250 	per admit	KA3	JK0	KS4
United Health Care		IN	Outpatient Facility	$200 	per occurance	KA3	JK0	KS4
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KA3	JK0	KS4
United Health Care		IN	Lab/X-Ray	100%		KA3	JK0	KS4
United Health Care		IN	Advanced Radiology	$100 		KA3	JK0	KS4
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KA3	JK0	KS4
United Health Care		IN	Ambulance	$100 		KA3	JK0	KS4
United Health Care		IN	Urgent Care	$10 		KA3	JK0	KS4
United Health Care		IN	Rx Generic		Separate from Medical 	KA3	JK0	KS4
United Health Care		IN	Rx Preferred		Separate from Medical 	KA3	JK0	KS4
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KA3	JK0	KS4
United Health Care		IN	Rx Specialty		Separate from Medical 	KA3	JK0	KS4
United Health Care		IN	Rx Mail Order	2x		KA3	JK0	KS4
United Health Care		IN	Rx Individual Deductible			KA3	JK0	KS4
United Health Care		IN	Rx Family Deductible			KA3	JK0	KS4
United Health Care		IN	Skilled Nursing			KA3	JK0	KS4
United Health Care		IN	Individual Deductible	$0 		KA6	KJ3	KS7
United Health Care		IN	Family Deductible	$0 		KA6	KJ3	KS7
United Health Care		IN	Individual OOP Limit	"$1,500 "		KA6	KJ3	KS7
United Health Care		IN	Family OOP Limit	"$3,000 "		KA6	KJ3	KS7
United Health Care		IN	Co-insurance	100%		KA6	KJ3	KS7
United Health Care		IN	PCP	$15		KA6	KJ3	KS7
United Health Care			Specialist	$15		KA6	KJ3	KS7
United Health Care		IN	Preventive Care	100%		KA6	KJ3	KS7
United Health Care		IN	Physical Therapy	$15 		KA6	KJ3	KS7
United Health Care		IN	Chiropractic Care		Rider available	KA6	KJ3	KS7
United Health Care		IN	Inpatient Hospital	$250 	per admit	KA6	KJ3	KS7
United Health Care		IN	Outpatient Facility	$200 	per occurance	KA6	KJ3	KS7
United Health Care		IN	Outpatient Surgery	$200 	per occurance	KA6	KJ3	KS7
United Health Care		IN	Lab/X-Ray	100%		KA6	KJ3	KS7
United Health Care		IN	Advanced Radiology	$100 		KA6	KJ3	KS7
United Health Care		IN	Emergency Room	$150 	Waived if admitted	KA6	KJ3	KS7
United Health Care		IN	Ambulance	$100 		KA6	KJ3	KS7
United Health Care		IN	Urgent Care	$15 		KA6	KJ3	KS7
United Health Care		IN	Rx Generic		Separate from Medical 	KA6	KJ3	KS7
United Health Care		IN	Rx Preferred		Separate from Medical 	KA6	KJ3	KS7
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	KA6	KJ3	KS7
United Health Care		IN	Rx Specialty		Separate from Medical 	KA6	KJ3	KS7
