Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna		IN	Benefit Class 1	 	"2X to $500,000"	Cigna 1
Cigna		IN	Benefit Class 2	 	"1X to $100,000"	Cigna 1
Cigna		IN	Age Reduction		65% @ age 65	Cigna 1
Cigna		IN	Age Reduction 2		50% @ age 70	Cigna 1
Cigna		IN	Age Reduction 3 		35% @ age 75	Cigna 1
Cigna		IN	Death Benefit		Same as Basic Life	Cigna 1
Cigna		IN	Dismemberment Benefit		25% -100%	Cigna 1
Cigna		IN	Coma Benefit	 	1% monthly up to 60 months	Cigna 1
Cigna		IN	Paralysis Benefit		25% -100%	Cigna 1
Cigna	 	IN	Benefit Class 1	 	"2X to $700,000"	Cigna 2
Cigna		IN	Benefit Class 2	 	"1X to $200,000"	Cigna 2
Cigna		IN	Age Reduction		65% @ age 65	Cigna 2
Cigna		IN	Age Reduction 2		50% @ age 70	Cigna 2
Cigna		IN	Age Reduction 3 		35% @ age 75	Cigna 2
Cigna		IN	Death Benefit		Same as Basic Life	Cigna 2
Cigna		IN	Dismemberment Benefit		25% -100%	Cigna 2
Cigna		IN	Coma Benefit	 	1% monthly up to 60 months	Cigna 2
Cigna		IN	Paralysis Benefit		25% -100%	Cigna 2
