Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
MetLife		IN	Benefit Class 1	 	"2X to $500,000"	Met Life 1
MetLife		IN	Benefit Class 2	 	"1X to $100,000"	Met Life 1
MetLife		IN	Age Reduction		65% @ age 65	Met Life 1
MetLife		IN	Age Reduction 2		50% @ age 70	Met Life 1
MetLife		IN	Age Reduction 3 		35% @ age 75	Met Life 1
MetLife		IN	Death Benefit		Same as Basic Life	Met Life 1
MetLife		IN	Dismemberment Benefit		25% -100%	Met Life 1
MetLife		IN	Coma Benefit	 	1% monthly up to 60 months	Met Life 1
MetLife		IN	Paralysis Benefit		25% -100%	Met Life 1
MetLife	Life	IN	Benefit Class 1	 	"2X to $700,000"	Met Life 2
MetLife		IN	Benefit Class 2	 	"1X to $200,000"	Met Life 2
MetLife		IN	Age Reduction		65% @ age 65	Met Life 2
MetLife		IN	Age Reduction 2		50% @ age 70	Met Life 2
MetLife		IN	Age Reduction 3 		35% @ age 75	Met Life 2
MetLife		IN	Death Benefit		Same as Basic Life	Met Life 2
MetLife		IN	Dismemberment Benefit		25% -100%	Met Life 2
MetLife		IN	Coma Benefit	 	1% monthly up to 60 months	Met Life 2
MetLife		IN	Paralysis Benefit		25% -100%	Met Life 2
