Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian	LTD	IN	LTD Benefit	60%		Guardian 1
Guardian		IN	LTD Monthly Max	"$5,000 "		Guardian 1
Guardian		IN	LTD Elimination	90	days	Guardian 1
Guardian		IN	LTD Max Benefit Period		Age 65	Guardian 1
Guardian		IN	LTD Pre-existing Limits		12/12	Guardian 1
Guardian	LTD	IN	LTD Benefit	60%		Guardian 2
Guardian		IN	LTD Monthly Max	"$6,000 "		Guardian 2
Guardian		IN	LTD Elimination	90	days	Guardian 2
Guardian		IN	LTD Max Benefit Period		Age 65	Guardian 2
Guardian		IN	LTD Pre-existing Limits		12/12	Guardian 2
