Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Metlife	LTD	IN	LTD Benefit	60%		Metlife 1
Metlife		IN	LTD Monthly Max	"$5,000 "		Metlife 1
Metlife		IN	LTD Elimination	90	days	Metlife 1
Metlife		IN	LTD Max Benefit Period		Age 65	Metlife 1
Metlife		IN	LTD Pre-existing Limits		12/12	Metlife 1
Metlife	LTD	IN	LTD Benefit	60%		Metlife 2
Metlife		IN	LTD Monthly Max	"$6,000 "		Metlife 2
Metlife		IN	LTD Elimination	90	days	Metlife 2
Metlife		IN	LTD Max Benefit Period		Age 65	Metlife 2
Metlife		IN	LTD Pre-existing Limits		12/12	Metlife 2
