Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Select Network
AETNA	PQ-2	IN	Individual Deductible	$250		AETNA 10
AETNA		IN	Family Deductible	$500		AETNA 10
AETNA		IN	Individual OOP Limit	"$1,250"		AETNA 10
AETNA		IN	Family OOP Limit	"$2,500"		AETNA 10
AETNA		IN	Co-insurance	90%		AETNA 10
AETNA		IN	PCP	$10		AETNA 10
AETNA		IN	Specialist	$10		AETNA 10
AETNA		IN	Preventive Care	100%		AETNA 10
AETNA		IN	Physical Therapy	$10		AETNA 10
AETNA		IN	Chiropractic Care			AETNA 10
AETNA		IN	Inpatient Hospital	10%	After deductible	AETNA 10
AETNA		IN	Outpatient Surgery	10%	After deductible	AETNA 10
AETNA		IN	Lab/X-Ray	10%	After deductible	AETNA 10
AETNA		IN	Advanced Radiology	10%	After deductible	AETNA 10
AETNA		IN	Emergency Room	$100	Waived if admitted	AETNA 10
AETNA		IN	Ambulance	10%	After deductible	AETNA 10
AETNA		IN	Urgent Care	$50		AETNA 10
AETNA		IN	Rx Generic	$10		AETNA 10
AETNA		IN	Rx Preferred	$20		AETNA 10
AETNA		IN	Rx Non-Preferred	$40		AETNA 10
AETNA		IN	Rx Specialty	20%		AETNA 10
AETNA		IN	Rx Mail Order	2x		AETNA 10
AETNA		IN	Rx Individual Deductible	$0		AETNA 10
AETNA		IN	Rx Family Deductible	$0		AETNA 10
AETNA		OUT	Individual Deductible	$500		AETNA 10
AETNA		OUT	Family Deductible	"$1,000"		AETNA 10
AETNA		OUT	Individual OOP Limit	"$2,500"		AETNA 10
AETNA		OUT	Family OOP Limit	"$5,000"		AETNA 10
AETNA		OUT	Co-insurance	70%	After deductible	AETNA 10
AETNA		OUT	PCP	30%	After deductible	AETNA 10
AETNA		OUT	Specialist	30%	After deductible	AETNA 10
AETNA		OUT	Preventive Care	n/A		AETNA 10
AETNA		OUT	Physical Therapy	30%	After deductible	AETNA 10
AETNA		OUT	Chiropractic Care			AETNA 10
AETNA		OUT	Inpatient Hospital	30%	After deductible	AETNA 10
AETNA		OUT	Outpatient Surgery	30%	After deductible	AETNA 10
AETNA		OUT	Lab/X-Ray	30%	After deductible	AETNA 10
AETNA		OUT	Advanced Radiology	30%	After deductible	AETNA 10
AETNA		OUT	Emergency Room	$100		AETNA 10
AETNA		OUT	Ambulance	10%	After deductible	AETNA 10
AETNA		OUT	Urgent Care	30%	After deductible	AETNA 10
AETNA		OUT	Rx Generic	n/A		AETNA 10
AETNA		OUT	Rx Preferred	n/A		AETNA 10
AETNA		OUT	Rx Non-Preferred	n/A		AETNA 10
AETNA		OUT	Rx Specialty	n/A		AETNA 10
AETNA		OUT	Rx Mail Order	n/A		AETNA 10
AETNA		OUT	Rx Individual Deductible	n/A		AETNA 10
AETNA		OUT	Rx Family Deductible	n/A		AETNA 10
AETNA	PQ-3	IN	Individual Deductible	$250		AETNA 15
AETNA		IN	Family Deductible	$500		AETNA 15
AETNA		IN	Individual OOP Limit	"$1,250"		AETNA 15
AETNA		IN	Family OOP Limit	"$2,500"		AETNA 15
AETNA		IN	Co-insurance	90%		AETNA 15
AETNA		IN	PCP	$15		AETNA 15
AETNA		IN	Specialist	$15		AETNA 15
AETNA		IN	Preventive Care	100%		AETNA 15
AETNA		IN	Physical Therapy	$15		AETNA 15
AETNA		IN	Chiropractic Care			AETNA 15
AETNA		IN	Inpatient Hospital	10%	After deductible	AETNA 15
AETNA		IN	Outpatient Surgery	10%	After deductible	AETNA 15
AETNA		IN	Lab/X-Ray	10%	After deductible	AETNA 15
AETNA		IN	Advanced Radiology	10%	After deductible	AETNA 15
AETNA		IN	Emergency Room	$100	Waived if admitted	AETNA 15
AETNA		IN	Ambulance	10%	After deductible	AETNA 15
AETNA		IN	Urgent Care	$50		AETNA 15
AETNA		IN	Rx Generic	$10		AETNA 15
AETNA		IN	Rx Preferred	$20		AETNA 15
AETNA		IN	Rx Non-Preferred	$40		AETNA 15
AETNA		IN	Rx Specialty	20%		AETNA 15
AETNA		IN	Rx Mail Order	2x		AETNA 15
AETNA		IN	Rx Individual Deductible	$0		AETNA 15
AETNA		IN	Rx Family Deductible	$0		AETNA 15
AETNA		OUT	Individual Deductible	$500		AETNA 15
AETNA		OUT	Family Deductible	"$1,000"		AETNA 15
AETNA		OUT	Individual OOP Limit	"$2,500"		AETNA 15
AETNA		OUT	Family OOP Limit	"$5,000"		AETNA 15
AETNA		OUT	Co-insurance	70%	After deductible	AETNA 15
AETNA		OUT	PCP	30%	After deductible	AETNA 15
AETNA		OUT	Specialist	30%	After deductible	AETNA 15
AETNA		OUT	Preventive Care	n/A		AETNA 15
AETNA		OUT	Physical Therapy	30%	After deductible	AETNA 15
AETNA		OUT	Chiropractic Care			AETNA 15
AETNA		OUT	Inpatient Hospital	30%	After deductible	AETNA 15
AETNA		OUT	Outpatient Surgery	30%	After deductible	AETNA 15
AETNA		OUT	Lab/X-Ray	30%	After deductible	AETNA 15
AETNA		OUT	Advanced Radiology	30%	After deductible	AETNA 15
AETNA		OUT	Emergency Room	$100		AETNA 15
AETNA		OUT	Ambulance	10%	After deductible	AETNA 15
AETNA		OUT	Urgent Care	30%	After deductible	AETNA 15
AETNA		OUT	Rx Generic	n/A		AETNA 15
AETNA		OUT	Rx Preferred	n/A		AETNA 15
AETNA		OUT	Rx Non-Preferred	n/A		AETNA 15
AETNA		OUT	Rx Specialty	n/A		AETNA 15
AETNA		OUT	Rx Mail Order	n/A		AETNA 15
AETNA		OUT	Rx Individual Deductible	n/A		AETNA 15
AETNA		OUT	Rx Family Deductible	n/A		AETNA 15
AETNA	PQ-4	IN	Individual Deductible	$250		AETNA 10 250
AETNA		IN	Family Deductible	$500		AETNA 10 250
AETNA		IN	Individual OOP Limit	"$2,250"		AETNA 10 250
AETNA		IN	Family OOP Limit	"$4,500"		AETNA 10 250
AETNA		IN	Co-insurance	90%		AETNA 10 250
AETNA		IN	PCP	$10		AETNA 10 250
AETNA		IN	Specialist	$10		AETNA 10 250
AETNA		IN	Preventive Care	100%		AETNA 10 250
AETNA		IN	Physical Therapy	$10		AETNA 10 250
AETNA		IN	Chiropractic Care			AETNA 10 250
AETNA		IN	Inpatient Hospital	10%	After deductible	AETNA 10 250
AETNA		IN	Outpatient Surgery	10%	After deductible	AETNA 10 250
AETNA		IN	Lab/X-Ray	10%	After deductible	AETNA 10 250
AETNA		IN	Advanced Radiology	10%	After deductible	AETNA 10 250
AETNA		IN	Emergency Room	$100	Waived if admitted	AETNA 10 250
AETNA		IN	Ambulance	10%	After deductible	AETNA 10 250
AETNA		IN	Urgent Care	$50		AETNA 10 250
AETNA		IN	Rx Generic	$10		AETNA 10 250
AETNA		IN	Rx Preferred	$20		AETNA 10 250
AETNA		IN	Rx Non-Preferred	$40		AETNA 10 250
AETNA		IN	Rx Specialty	20%		AETNA 10 250
AETNA		IN	Rx Mail Order	2x		AETNA 10 250
AETNA		IN	Rx Individual Deductible	$0		AETNA 10 250
AETNA		IN	Rx Family Deductible	$0		AETNA 10 250
AETNA		OUT	Individual Deductible	$500		AETNA 10 250
AETNA		OUT	Family Deductible	"$1,000"		AETNA 10 250
AETNA		OUT	Individual OOP Limit	"$4,500"		AETNA 10 250
AETNA		OUT	Family OOP Limit	"$9,000"		AETNA 10 250
AETNA		OUT	Co-insurance	70%	After deductible	AETNA 10 250
AETNA		OUT	PCP	30%	After deductible	AETNA 10 250
AETNA		OUT	Specialist	30%	After deductible	AETNA 10 250
AETNA		OUT	Preventive Care	n/A		AETNA 10 250
AETNA		OUT	Physical Therapy	30%	After deductible	AETNA 10 250
AETNA		OUT	Chiropractic Care			AETNA 10 250
AETNA		OUT	Inpatient Hospital	30%	After deductible	AETNA 10 250
AETNA		OUT	Outpatient Surgery	30%	After deductible	AETNA 10 250
AETNA		OUT	Lab/X-Ray	30%	After deductible	AETNA 10 250
AETNA		OUT	Advanced Radiology	30%	After deductible	AETNA 10 250
AETNA		OUT	Emergency Room	$100		AETNA 10 250
AETNA		OUT	Ambulance	10%	After deductible	AETNA 10 250
AETNA		OUT	Urgent Care	30%	After deductible	AETNA 10 250
AETNA		OUT	Rx Generic	n/A		AETNA 10 250
AETNA		OUT	Rx Preferred	n/A		AETNA 10 250
AETNA		OUT	Rx Non-Preferred	n/A		AETNA 10 250
AETNA		OUT	Rx Specialty	n/A		AETNA 10 250
AETNA		OUT	Rx Mail Order	n/A		AETNA 10 250
AETNA		OUT	Rx Individual Deductible	n/A		AETNA 10 250
AETNA		OUT	Rx Family Deductible	n/A		AETNA 10 250
AETNA	PQ-5	IN	Individual Deductible	$250		AETNA 20
AETNA		IN	Family Deductible	$500		AETNA 20
AETNA		IN	Individual OOP Limit	"$3,500"		AETNA 20
AETNA		IN	Family OOP Limit	"$7,500"		AETNA 20
AETNA		IN	Co-insurance	80%		AETNA 20
AETNA		IN	PCP	$20		AETNA 20
AETNA		IN	Specialist	$20		AETNA 20
AETNA		IN	Preventive Care	 	No Charge	AETNA 20
AETNA		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	AETNA 20
AETNA		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	AETNA 20
AETNA		IN	Inpatient Hospital	20%	after deductible	AETNA 20
AETNA		IN	Outpatient Facility	20%	after deductible	AETNA 20
AETNA		IN	Outpatient Surgery	20%	after deductible	AETNA 20
AETNA		IN	Lab/X-Ray	20%	after deductible	AETNA 20
AETNA		IN	Advanced Radiology	20%	after deductible	AETNA 20
AETNA		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	AETNA 20
AETNA		IN	Ambulance	20%	after deductible	AETNA 20
AETNA		IN	Urgent Care	$20	ded. Waived	AETNA 20
AETNA		IN	Rx Generic	$10		AETNA 20
AETNA		IN	Rx Preferred	$25		AETNA 20
AETNA		IN	Rx Non-Preferred	$45		AETNA 20
AETNA		IN	Rx Specialty	20%	$150 max per Rx	AETNA 20
AETNA		IN	Rx Mail Order	2x	copay except generic	AETNA 20
AETNA		IN	Rx Individual Deductible			AETNA 20
AETNA		IN	Rx Family Deductible			AETNA 20
AETNA		IN	Skilled Nursing	20%	after deductible	AETNA 20
AETNA		OUT	Individual Deductible	$500		AETNA 20
AETNA		OUT	Family Deductible	"$1,000"		AETNA 20
AETNA		OUT	Individual OOP Limit	"$5,000"		AETNA 20
AETNA		OUT	Family OOP Limit	"$10,000"		AETNA 20
AETNA		OUT	Co-insurance	60%		AETNA 20
AETNA		OUT	PCP	40%	after deductible	AETNA 20
AETNA		OUT	Specialist	40%	after deductible	AETNA 20
AETNA		OUT	Preventive Care	40%	after deductible	AETNA 20
AETNA		OUT	Physical Therapy	40%	after deductible	AETNA 20
AETNA		OUT	Chiropractic Care	40%	after deductible	AETNA 20
AETNA		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	AETNA 20
AETNA		OUT	Outpatient Facility	40%	after deductible	AETNA 20
AETNA		OUT	Outpatient Surgery	40%	$350 coverage max (after deductible)	AETNA 20
AETNA		OUT	Lab/X-Ray	40%	after deductible	AETNA 20
AETNA		OUT	Advanced Radiology	40%	$800 coverage max (after deductible)	AETNA 20
AETNA		OUT	Emergency Room	$100	plus 30%	AETNA 20
AETNA		OUT	Ambulance	20%	after deductible	AETNA 20
AETNA		OUT	Urgent Care	40%	after deductible	AETNA 20
AETNA		OUT	Rx Generic	$10	plus 50%	AETNA 20
AETNA		OUT	Rx Preferred	$50	plus 50%	AETNA 20
AETNA		OUT	Rx Non-Preferred	$45	plus 50%	AETNA 20
AETNA		OUT	Rx Specialty	20%	plus 50%	AETNA 20
AETNA		OUT	Rx Mail Order	Not Covered		AETNA 20
AETNA		OUT	Rx Individual Deductible			AETNA 20
AETNA		OUT	Rx Family Deductible			AETNA 20
AETNA		OUT	Skilled Nursing	40%	after deductible	AETNA 20
AETNA	PQ-6	IN	Individual Deductible	$500		AETNA 20 500
AETNA		IN	Family Deductible	"$1,000"		AETNA 20 500
AETNA		IN	Individual OOP Limit	"$4,000"		AETNA 20 500
AETNA		IN	Family OOP Limit	"$8,000"		AETNA 20 500
AETNA		IN	Co-insurance	80%		AETNA 20 500
AETNA		IN	PCP	$20		AETNA 20 500
AETNA		IN	Specialist	$20		AETNA 20 500
AETNA		IN	Preventive Care	 	No Charge	AETNA 20 500
AETNA		IN	Physical Therapy	20%	24 visit max per cal yr (after deductible)	AETNA 20 500
AETNA		IN	Chiropractic Care	20%	24 visit max per cal yr (after deductible)	AETNA 20 500
AETNA		IN	Inpatient Hospital	20%	after deductible	AETNA 20 500
AETNA		IN	Outpatient Facility	20%	after deductible	AETNA 20 500
AETNA		IN	Outpatient Surgery	20%	after deductible	AETNA 20 500
AETNA		IN	Lab/X-Ray	20%	after deductible	AETNA 20 500
AETNA		IN	Advanced Radiology	20%	after deductible	AETNA 20 500
AETNA		IN	Emergency Room	$100	"plus 10%, Copay waived if admitted (after deductible)"	AETNA 20 500
AETNA		IN	Ambulance	20%	after deductible	AETNA 20 500
AETNA		IN	Urgent Care	$20	ded. Waived	AETNA 20 500
