Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Select Network
Healthnet	A12	IN	Individual Deductible	$250		A12
Healthnet		IN	Family Deductible	$750		A12
Healthnet		IN	Individual OOP Limit	"$2,000"		A12
Healthnet		IN	Family OOP Limit	"$6,000"		A12
Healthnet		IN	Co-insurance	90%		A12
Healthnet		IN	PCP	$10	ded. Waived	A12
Healthnet		IN	Specialist	$10	ded. Waived	A12
Healthnet		IN	Preventive Care	100%	ded. Waived	A12
Healthnet		IN	Physical Therapy	10%	after deductible	A12
Healthnet		IN	Chiropractic Care	$10	$1500 max per cal year (in-out network combined)	A12
Healthnet		IN	Inpatient Hospital	10%	after deductible	A12
Healthnet		IN	Outpatient Facility	10%	after deductible	A12
Healthnet		IN	Outpatient Surgery	10%	after deductible	A12
Healthnet		IN	Lab/X-Ray	10%	after deductible	A12
Healthnet		IN	Advanced Radiology	10%	after deductible	A12
Healthnet		IN	Emergency Room	$100	"plus 10%, after deductible"	A12
Healthnet		IN	Ambulance	$50	"plus 10%, after deductible"	A12
Healthnet		IN	Urgent Care	$10	ded. Waived	A12
Healthnet		IN	Rx Generic	$10		A12
Healthnet		IN	Rx Preferred	$20		A12
Healthnet		IN	Rx Non-Preferred	$40		A12
Healthnet		IN	Rx Specialty	20%		A12
Healthnet		IN	Rx Mail Order	2x		A12
Healthnet		IN	Rx Individual Deductible	$0		A12
Healthnet		IN	Rx Family Deductible	$0		A12
Healthnet		IN	Skilled Nursing	10%	100 day max (after deductible)	A12
Healthnet		OUT	Individual Deductible	$250		A12
Healthnet		OUT	Family Deductible	$750		A12
Healthnet		OUT	Individual OOP Limit	"$4,000"		A12
Healthnet		OUT	Family OOP Limit	"$12,000"		A12
Healthnet		OUT	Co-insurance	70%		A12
Healthnet		OUT	PCP	30%	after deductible	A12
Healthnet		OUT	Specialist	30%	after deductible	A12
Healthnet		OUT	Preventive Care	n/a		A12
Healthnet		OUT	Physical Therapy	30%	after deductible	A12
Healthnet		OUT	Chiropractic Care	30%	$25 coverage max (after deductible) 	A12
Healthnet		OUT	Inpatient Hospital	30%	after deductible	A12
Healthnet		OUT	Outpatient Facility	30%	after deductible	A12
Healthnet		OUT	Outpatient Surgery	30%	after deductible	A12
Healthnet		OUT	Lab/X-Ray	30%	after deductible	A12
Healthnet		OUT	Advanced Radiology	30%	after deductible	A12
Healthnet		OUT	Emergency Room	$100	"plus 30%, after deductible"	A12
Healthnet		OUT	Ambulance	$50	"plus 30%, after deductible"	A12
Healthnet		OUT	Urgent Care	30%	after deductible	A12
Healthnet		OUT	Rx Generic	n/a		A12
Healthnet		OUT	Rx Preferred	n/a		A12
Healthnet		OUT	Rx Non-Preferred	n/a		A12
Healthnet		OUT	Rx Specialty	n/a		A12
Healthnet		OUT	Rx Mail Order	n/a		A12
Healthnet		OUT	Rx Individual Deductible	n/a		A12
Healthnet		OUT	Rx Family Deductible	n/a		A12
Healthnet		OUT	Skilled Nursing	30%	100 day max (after deductible)	A12
Healthnet	A15	IN	Individual Deductible	$250		A15
Healthnet		IN	Family Deductible	$750		A15
Healthnet		IN	Individual OOP Limit	"$2,000"		A15
Healthnet		IN	Family OOP Limit	"$6,000"		A15
Healthnet		IN	Co-insurance	90%		A15
Healthnet		IN	PCP	$15	ded. Waived	A15
Healthnet		IN	Specialist	$15	ded. Waived	A15
Healthnet		IN	Preventive Care	100%	ded. Waived	A15
Healthnet		IN	Physical Therapy	10%	after deductible	A15
Healthnet		IN	Chiropractic Care	$15	$1500 max per cal year (in-out network combined)	A15
Healthnet		IN	Inpatient Hospital	10%	after deductible	A15
Healthnet		IN	Outpatient Facility	10%	after deductible	A15
Healthnet		IN	Outpatient Surgery	10%	after deductible	A15
Healthnet		IN	Lab/X-Ray	10%	after deductible	A15
Healthnet		IN	Advanced Radiology	10%	after deductible	A15
Healthnet		IN	Emergency Room	$100	"plus 10%, after deductible"	A15
Healthnet		IN	Ambulance	$50	"plus 10%, after deductible"	A15
Healthnet		IN	Urgent Care	$15	ded. Waived	A15
Healthnet		IN	Rx Generic	$10		A15
Healthnet		IN	Rx Preferred	$20		A15
Healthnet		IN	Rx Non-Preferred	$40		A15
