Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Select Network
United Health Care	PQ-2	IN	Individual Deductible	$250		PQ-2
United Health Care		IN	Family Deductible	$500		PQ-2
United Health Care		IN	Individual OOP Limit	"$1,250"		PQ-2
United Health Care		IN	Family OOP Limit	"$2,500"		PQ-2
United Health Care		IN	Co-insurance	90%		PQ-2
United Health Care		IN	PCP	$10		PQ-2
United Health Care		IN	Specialist	$10		PQ-2
United Health Care		IN	Preventive Care	100%		PQ-2
United Health Care		IN	Physical Therapy	$10		PQ-2
United Health Care		IN	Chiropractic Care			PQ-2
United Health Care		IN	Inpatient Hospital	10%	After deductible	PQ-2
United Health Care		IN	Outpatient Surgery	10%	After deductible	PQ-2
United Health Care		IN	Lab/X-Ray	10%	After deductible	PQ-2
United Health Care		IN	Advanced Radiology	10%	After deductible	PQ-2
United Health Care		IN	Emergency Room	$100	Waived if admitted	PQ-2
United Health Care		IN	Ambulance	10%	After deductible	PQ-2
United Health Care		IN	Urgent Care	$50		PQ-2
United Health Care		IN	Rx Generic	$10		PQ-2
United Health Care		IN	Rx Preferred	$20		PQ-2
United Health Care		IN	Rx Non-Preferred	$40		PQ-2
United Health Care		IN	Rx Specialty	20%		PQ-2
United Health Care		IN	Rx Mail Order	2x		PQ-2
United Health Care		IN	Rx Individual Deductible	$0		PQ-2
United Health Care		IN	Rx Family Deductible	$0		PQ-2
United Health Care		OUT	Individual Deductible	$500		PQ-2
United Health Care		OUT	Family Deductible	"$1,000"		PQ-2
United Health Care		OUT	Individual OOP Limit	"$2,500"		PQ-2
United Health Care		OUT	Family OOP Limit	"$5,000"		PQ-2
United Health Care		OUT	Co-insurance	70%	After deductible	PQ-2
United Health Care		OUT	PCP	30%	After deductible	PQ-2
United Health Care		OUT	Specialist	30%	After deductible	PQ-2
United Health Care		OUT	Preventive Care	n/A		PQ-2
United Health Care		OUT	Physical Therapy	30%	After deductible	PQ-2
United Health Care		OUT	Chiropractic Care			PQ-2
United Health Care		OUT	Inpatient Hospital	30%	After deductible	PQ-2
United Health Care		OUT	Outpatient Surgery	30%	After deductible	PQ-2
United Health Care		OUT	Lab/X-Ray	30%	After deductible	PQ-2
United Health Care		OUT	Advanced Radiology	30%	After deductible	PQ-2
United Health Care		OUT	Emergency Room	$100		PQ-2
United Health Care		OUT	Ambulance	10%	After deductible	PQ-2
United Health Care		OUT	Urgent Care	30%	After deductible	PQ-2
United Health Care		OUT	Rx Generic	n/A		PQ-2
United Health Care		OUT	Rx Preferred	n/A		PQ-2
United Health Care		OUT	Rx Non-Preferred	n/A		PQ-2
United Health Care		OUT	Rx Specialty	n/A		PQ-2
United Health Care		OUT	Rx Mail Order	n/A		PQ-2
United Health Care		OUT	Rx Individual Deductible	n/A		PQ-2
United Health Care		OUT	Rx Family Deductible	n/A		PQ-2
United Health Care	PQ-3	IN	Individual Deductible	$250		PQ-3
United Health Care		IN	Family Deductible	$500		PQ-3
United Health Care		IN	Individual OOP Limit	"$1,250"		PQ-3
United Health Care		IN	Family OOP Limit	"$2,500"		PQ-3
United Health Care		IN	Co-insurance	90%		PQ-3
United Health Care		IN	PCP	$15		PQ-3
