Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	STD	IN	STD Benefit	60%		Anthem 1
Anthem Blue Cross		IN	STD Monthly Max	"$5,000 "		Anthem 1
Anthem Blue Cross		IN	STD Elimination	90	days	Anthem 1
Anthem Blue Cross		IN	STD Max Benefit Period		Age 65	Anthem 1
Anthem Blue Cross		IN	STD Pre-existing Limits		12/12	Anthem 1
Anthem Blue Cross	STD	IN	STD Benefit	60%		Anthem 2
Anthem Blue Cross		IN	STD Monthly Max	"$6,000 "		Anthem 2
Anthem Blue Cross		IN	STD Elimination	90	days	Anthem 2
Anthem Blue Cross		IN	STD Max Benefit Period		Age 65	Anthem 2
Anthem Blue Cross		IN	STD Pre-existing Limits		12/12	Anthem 2
