Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna	STD	IN	STD Benefit	60%		Cigna 1
Cigna		IN	STD Monthly Max	"$5,000 "		Cigna 1
Cigna		IN	STD Elimination	90	days	Cigna 1
Cigna		IN	STD Max Benefit Period		Age 65	Cigna 1
Cigna		IN	STD Pre-existing Limits		12/12	Cigna 1
Cigna	STD	IN	STD Benefit	60%		CIgna 2
Cigna		IN	STD Monthly Max	"$6,000 "		CIgna 2
Cigna		IN	STD Elimination	90	days	CIgna 2
Cigna		IN	STD Max Benefit Period		Age 65	CIgna 2
Cigna		IN	STD Pre-existing Limits		12/12	CIgna 2
