Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian	STD	IN	STD Benefit	60%		Guardian1
Guardian		IN	STD Monthly Max	"$5,000 "		Guardian1
Guardian		IN	STD Elimination	90	days	Guardian1
Guardian		IN	STD Max Benefit Period		Age 65	Guardian1
Guardian		IN	STD Pre-existing Limits		12/12	Guardian1
Guardian	STD	IN	STD Benefit	60%		Guardian 2
Guardian		IN	STD Monthly Max	"$6,000 "		Guardian 2
Guardian		IN	STD Elimination	90	days	Guardian 2
Guardian		IN	STD Max Benefit Period		Age 65	Guardian 2
Guardian		IN	STD Pre-existing Limits		12/12	Guardian 2
