Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Metlife	STD	IN	STD Benefit	60%		Metlife1
Metlife		IN	STD Monthly Max	"$5,000 "		Metlife1
Metlife		IN	STD Elimination	90	days	Metlife1
Metlife		IN	STD Max Benefit Period		Age 65	Metlife1
Metlife		IN	STD Pre-existing Limits		12/12	Metlife1
Metlife	STD	IN	STD Benefit	60%		Metlife 2
Metlife		IN	STD Monthly Max	"$6,000 "		Metlife 2
Metlife		IN	STD Elimination	90	days	Metlife 2
Metlife		IN	STD Max Benefit Period		Age 65	Metlife 2
Metlife		IN	STD Pre-existing Limits		12/12	Metlife 2
