Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna	VISION	IN	Exams Frequency 	12	months	Cigna 1
Cigna		IN	Lenses Frequency	12	months	Cigna 1
Cigna		IN	Frames Frequency	24	months	Cigna 1
Cigna		IN	Exam Copay	$20		Cigna 1
Cigna		IN	Materials Copay	n/a		Cigna 1
Cigna		IN	Vision Exam	 	Covered in Full	Cigna 1
Cigna		IN	Single Vision Lens	 	Covered in Full	Cigna 1
Cigna		IN	Bifocal Lens	 	Covered in Full	Cigna 1
Cigna		IN	Trifocal Lens	 	Covered in Full	Cigna 1
Cigna		IN	Lenticular Lenses	 	Covered in Full	Cigna 1
Cigna		IN	Contacts Elective	$130	Allowance	Cigna 1
Cigna		IN	Contacts Therapeutic	 	Covered in Full	Cigna 1
Cigna		IN	Frames	$130	Allowance	Cigna 1
Cigna		OUT	Exams Frequency 	12	months	Cigna 1
Cigna		OUT	Lenses Frequency	12	months	Cigna 1
Cigna		OUT	Frames Frequency	24	months	Cigna 1
Cigna		OUT	Exam Copay	 		Cigna 1
Cigna		OUT	Materials Copay	 		Cigna 1
Cigna		OUT	Vision Exam	$45	Allowance	Cigna 1
Cigna		OUT	Single Vision Lens	$30	Allowance	Cigna 1
Cigna		OUT	Bifocal Lens	$50	Allowance	Cigna 1
Cigna		OUT	Trifocal Lens	$65	Allowance	Cigna 1
Cigna		OUT	Lenticular Lenses	$80	Allowance	Cigna 1
Cigna		OUT	Contacts Elective	$130	Allowance	Cigna 1
Cigna		OUT	Contacts Therapeutic	$200	Allowance	Cigna 1
Cigna		OUT	Frames	$130	Allowance	Cigna 1
Cigna	VISION	IN	Exams Frequency 	24	months	Cigna 2
Cigna		IN	Lenses Frequency	24	months	Cigna 2
Cigna		IN	Frames Frequency	24	months	Cigna 2
Cigna		IN	Exam Copay	$30		Cigna 2
Cigna		IN	Materials Copay	n/a		Cigna 2
Cigna		IN	Vision Exam	 	Covered in Full	Cigna 2
Cigna		IN	Single Vision Lens	 	Covered in Full	Cigna 2
Cigna		IN	Bifocal Lens	 	Covered in Full	Cigna 2
Cigna		IN	Trifocal Lens	 	Covered in Full	Cigna 2
Cigna		IN	Lenticular Lenses	 	Covered in Full	Cigna 2
Cigna		IN	Contacts Elective	$130	Allowance	Cigna 2
Cigna		IN	Contacts Therapeutic	 	Covered in Full	Cigna 2
Cigna		IN	Frames	$130	Allowance	Cigna 2
Cigna		OUT	Exams Frequency 	24	months	Cigna 2
Cigna		OUT	Lenses Frequency	24	months	Cigna 2
Cigna		OUT	Frames Frequency	24	months	Cigna 2
Cigna		OUT	Exam Copay	 		Cigna 2
Cigna		OUT	Materials Copay	 		Cigna 2
Cigna		OUT	Vision Exam	$40	Allowance	Cigna 2
Cigna		OUT	Single Vision Lens	$25	Allowance	Cigna 2
Cigna		OUT	Bifocal Lens	$45	Allowance	Cigna 2
Cigna		OUT	Trifocal Lens	$60	Allowance	Cigna 2
Cigna		OUT	Lenticular Lenses	$70	Allowance	Cigna 2
Cigna		OUT	Contacts Elective	$120	Allowance	Cigna 2
Cigna		OUT	Contacts Therapeutic	$190	Allowance	Cigna 2
Cigna		OUT	Frames	$120	Allowance	Cigna 2
