Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian 	VISION	IN	Exams Frequency 	12	months	Guardian 1
Guardian 		IN	Lenses Frequency	12	months	Guardian 1
Guardian 		IN	Frames Frequency	24	months	Guardian 1
Guardian 		IN	Exam Copay	$20		Guardian 1
Guardian 		IN	Materials Copay	n/a		Guardian 1
Guardian 		IN	Vision Exam	 	Covered in Full	Guardian 1
Guardian 		IN	Single Vision Lens	 	Covered in Full	Guardian 1
Guardian 		IN	Bifocal Lens	 	Covered in Full	Guardian 1
Guardian 		IN	Trifocal Lens	 	Covered in Full	Guardian 1
Guardian 		IN	Lenticular Lenses	 	Covered in Full	Guardian 1
Guardian 		IN	Contacts Elective	$130	Allowance	Guardian 1
Guardian 		IN	Contacts Therapeutic	 	Covered in Full	Guardian 1
Guardian 		IN	Frames	$130	Allowance	Guardian 1
Guardian 		OUT	Exams Frequency 	12	months	Guardian 1
Guardian 		OUT	Lenses Frequency	12	months	Guardian 1
Guardian 		OUT	Frames Frequency	24	months	Guardian 1
Guardian 		OUT	Exam Copay	 		Guardian 1
Guardian 		OUT	Materials Copay	 		Guardian 1
Guardian 		OUT	Vision Exam	$45	Allowance	Guardian 1
Guardian 		OUT	Single Vision Lens	$30	Allowance	Guardian 1
Guardian 		OUT	Bifocal Lens	$50	Allowance	Guardian 1
Guardian 		OUT	Trifocal Lens	$65	Allowance	Guardian 1
Guardian 		OUT	Lenticular Lenses	$80	Allowance	Guardian 1
Guardian 		OUT	Contacts Elective	$130	Allowance	Guardian 1
Guardian 		OUT	Contacts Therapeutic	$200	Allowance	Guardian 1
Guardian 		OUT	Frames	$130	Allowance	Guardian 1
Guardian 	VISION	IN	Exams Frequency 	24	months	Guardian 2
Guardian 		IN	Lenses Frequency	24	months	Guardian 2
Guardian 		IN	Frames Frequency	24	months	Guardian 2
Guardian 		IN	Exam Copay	$30		Guardian 2
Guardian 		IN	Materials Copay	n/a		Guardian 2
Guardian 		IN	Vision Exam	 	Covered in Full	Guardian 2
Guardian 		IN	Single Vision Lens	 	Covered in Full	Guardian 2
Guardian 		IN	Bifocal Lens	 	Covered in Full	Guardian 2
Guardian 		IN	Trifocal Lens	 	Covered in Full	Guardian 2
Guardian 		IN	Lenticular Lenses	 	Covered in Full	Guardian 2
Guardian 		IN	Contacts Elective	$130	Allowance	Guardian 2
Guardian 		IN	Contacts Therapeutic	 	Covered in Full	Guardian 2
Guardian 		IN	Frames	$130	Allowance	Guardian 2
Guardian 		OUT	Exams Frequency 	24	months	Guardian 2
Guardian 		OUT	Lenses Frequency	24	months	Guardian 2
Guardian 		OUT	Frames Frequency	24	months	Guardian 2
Guardian 		OUT	Exam Copay	 		Guardian 2
Guardian 		OUT	Materials Copay	 		Guardian 2
Guardian 		OUT	Vision Exam	$40	Allowance	Guardian 2
Guardian 		OUT	Single Vision Lens	$25	Allowance	Guardian 2
Guardian 		OUT	Bifocal Lens	$45	Allowance	Guardian 2
Guardian 		OUT	Trifocal Lens	$60	Allowance	Guardian 2
Guardian 		OUT	Lenticular Lenses	$70	Allowance	Guardian 2
Guardian 		OUT	Contacts Elective	$120	Allowance	Guardian 2
Guardian 		OUT	Contacts Therapeutic	$190	Allowance	Guardian 2
Guardian 		OUT	Frames	$120	Allowance	Guardian 2
