Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Metlife	VISION	IN	Exams Frequency 	12	months	Metlife 1
Metlife		IN	Lenses Frequency	12	months	Metlife 1
Metlife		IN	Frames Frequency	24	months	Metlife 1
Metlife		IN	Exam Copay	$20		Metlife 1
Metlife		IN	Materials Copay	n/a		Metlife 1
Metlife		IN	Vision Exam	 	Covered in Full	Metlife 1
Metlife		IN	Single Vision Lens	 	Covered in Full	Metlife 1
Metlife		IN	Bifocal Lens	 	Covered in Full	Metlife 1
Metlife		IN	Trifocal Lens	 	Covered in Full	Metlife 1
Metlife		IN	Lenticular Lenses	 	Covered in Full	Metlife 1
Metlife		IN	Contacts Elective	$130	Allowance	Metlife 1
Metlife		IN	Contacts Therapeutic	 	Covered in Full	Metlife 1
Metlife		IN	Frames	$130	Allowance	Metlife 1
Metlife		OUT	Exams Frequency 	12	months	Metlife 1
Metlife		OUT	Lenses Frequency	12	months	Metlife 1
Metlife		OUT	Frames Frequency	24	months	Metlife 1
Metlife		OUT	Exam Copay	 		Metlife 1
Metlife		OUT	Materials Copay	 		Metlife 1
Metlife		OUT	Vision Exam	$45	Allowance	Metlife 1
Metlife		OUT	Single Vision Lens	$30	Allowance	Metlife 1
Metlife		OUT	Bifocal Lens	$50	Allowance	Metlife 1
Metlife		OUT	Trifocal Lens	$65	Allowance	Metlife 1
Metlife		OUT	Lenticular Lenses	$80	Allowance	Metlife 1
Metlife		OUT	Contacts Elective	$130	Allowance	Metlife 1
Metlife		OUT	Contacts Therapeutic	$200	Allowance	Metlife 1
Metlife		OUT	Frames	$130	Allowance	Metlife 1
Metlife	VISION	IN	Exams Frequency 	24	months	Metlife 2
Metlife		IN	Lenses Frequency	24	months	Metlife 2
Metlife		IN	Frames Frequency	24	months	Metlife 2
Metlife		IN	Exam Copay	$30		Metlife 2
Metlife		IN	Materials Copay	n/a		Metlife 2
Metlife		IN	Vision Exam	 	Covered in Full	Metlife 2
Metlife		IN	Single Vision Lens	 	Covered in Full	Metlife 2
Metlife		IN	Bifocal Lens	 	Covered in Full	Metlife 2
Metlife		IN	Trifocal Lens	 	Covered in Full	Metlife 2
Metlife		IN	Lenticular Lenses	 	Covered in Full	Metlife 2
Metlife		IN	Contacts Elective	$130	Allowance	Metlife 2
Metlife		IN	Contacts Therapeutic	 	Covered in Full	Metlife 2
Metlife		IN	Frames	$130	Allowance	Metlife 2
Metlife		OUT	Exams Frequency 	24	months	Metlife 2
Metlife		OUT	Lenses Frequency	24	months	Metlife 2
Metlife		OUT	Frames Frequency	24	months	Metlife 2
Metlife		OUT	Exam Copay	 		Metlife 2
Metlife		OUT	Materials Copay	 		Metlife 2
Metlife		OUT	Vision Exam	$40	Allowance	Metlife 2
Metlife		OUT	Single Vision Lens	$25	Allowance	Metlife 2
Metlife		OUT	Bifocal Lens	$45	Allowance	Metlife 2
Metlife		OUT	Trifocal Lens	$60	Allowance	Metlife 2
Metlife		OUT	Lenticular Lenses	$70	Allowance	Metlife 2
Metlife		OUT	Contacts Elective	$120	Allowance	Metlife 2
Metlife		OUT	Contacts Therapeutic	$190	Allowance	Metlife 2
Metlife		OUT	Frames	$120	Allowance	Metlife 2
