Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian 	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Guardian 1
Guardian 		IN	Employee Guarantee Issue	"$100,000"		Guardian 1
Guardian 		IN	Employee Age Reduction		None	Guardian 1
Guardian 		IN	Spouse Benefit	"$5,000"	"increments up to $100,000"	Guardian 1
Guardian 		IN	Spouse Guarantee Issue	"$25,000"		Guardian 1
Guardian 		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Guardian 1
Guardian 		IN	Children Guarantee Issue	"$10,000"		Guardian 1
Guardian 		IN	Voluntary Employee Benefit		Equals Life Benefit	Guardian 1
Guardian 		IN	Voluntary Employee Guarantee Issue	"$100,000"		Guardian 1
Guardian 		IN	Voluntary Spouse Benefit		Equals Life Benefit	Guardian 1
Guardian 		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Guardian 1
Guardian 		IN	Voluntary Children Benefit		Equals Life Benefit	Guardian 1
Guardian 		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Guardian 1
Guardian 		IN	Voluntary Children Age Reduction	"$10,000"		Guardian 1
Guardian 	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Guardian 2
Guardian 		IN	Employee Guarantee Issue	"$150,000"		Guardian 2
Guardian 		IN	Employee Age Reduction		None	Guardian 2
Guardian 		IN	Spouse Benefit	"$10,000"	"increments up to $100,000"	Guardian 2
Guardian 		IN	Spouse Guarantee Issue	"$50,000"		Guardian 2
Guardian 		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Guardian 2
Guardian 		IN	Children Guarantee Issue	"$10,000"		Guardian 2
Guardian 		IN	Voluntary Employee Benefit		Equals Life Benefit	Guardian 2
Guardian 		IN	Voluntary Employee Guarantee Issue	"$100,000"		Guardian 2
Guardian 		IN	Voluntary Spouse Benefit		Equals Life Benefit	Guardian 2
Guardian 		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Guardian 2
Guardian 		IN	Voluntary Children Benefit		Equals Life Benefit	Guardian 2
Guardian 		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Guardian 2
Guardian 		IN	Voluntary Children Age Reduction	"$10,000"		Guardian 2
