Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Metlife	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Metlife 1
Metlife		IN	Employee Guarantee Issue	"$100,000"		Metlife 1
Metlife		IN	Employee Age Reduction		None	Metlife 1
Metlife		IN	Spouse Benefit	"$5,000"	"increments up to $100,000"	Metlife 1
Metlife		IN	Spouse Guarantee Issue	"$25,000"		Metlife 1
Metlife		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Metlife 1
Metlife		IN	Children Guarantee Issue	"$10,000"		Metlife 1
Metlife		IN	Voluntary Employee Benefit		Equals Life Benefit	Metlife 1
Metlife		IN	Voluntary Employee Guarantee Issue	"$100,000"		Metlife 1
Metlife		IN	Voluntary Spouse Benefit		Equals Life Benefit	Metlife 1
Metlife		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Metlife 1
Metlife		IN	Voluntary Children Benefit		Equals Life Benefit	Metlife 1
Metlife		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Metlife 1
Metlife		IN	Voluntary Children Age Reduction	"$10,000"		Metlife 1
Metlife	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Metlife 2
Metlife		IN	Employee Guarantee Issue	"$150,000"		Metlife 2
Metlife		IN	Employee Age Reduction		None	Metlife 2
Metlife		IN	Spouse Benefit	"$10,000"	"increments up to $100,000"	Metlife 2
Metlife		IN	Spouse Guarantee Issue	"$50,000"		Metlife 2
Metlife		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Metlife 2
Metlife		IN	Children Guarantee Issue	"$10,000"		Metlife 2
Metlife		IN	Voluntary Employee Benefit		Equals Life Benefit	Metlife 2
Metlife		IN	Voluntary Employee Guarantee Issue	"$100,000"		Metlife 2
Metlife		IN	Voluntary Spouse Benefit		Equals Life Benefit	Metlife 2
Metlife		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Metlife 2
Metlife		IN	Voluntary Children Benefit		Equals Life Benefit	Metlife 2
Metlife		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Metlife 2
Metlife		IN	Voluntary Children Age Reduction	"$10,000"		Metlife 2
