Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	DEPO	IN	Calendar Year Maximum	"$2,250 "		DEPO
Anthem Blue Cross		IN	Calendar Year Deductible	 		DEPO
Anthem Blue Cross		IN	Individual	$25 		DEPO
Anthem Blue Cross		IN	Family	$75 		DEPO
Anthem Blue Cross		IN	Waived for Preventive?		Yes	DEPO
Anthem Blue Cross		IN	Class 1 - Preventive	100%		DEPO
Anthem Blue Cross		IN	Class II - Basic	80%		DEPO
Anthem Blue Cross		IN	Class III - Major	50%		DEPO
Anthem Blue Cross		IN	Class IV - Orthodontia	50%		DEPO
Anthem Blue Cross		IN	Orthodontia Lifetime Max	"$1,000 "		DEPO
Anthem Blue Cross		IN	Implant Coverage		Yes	DEPO
