Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Principal Financial Group	DHMO	IN	Office Visit 	$5 		Principal 1
Principal Financial Group		IN	Oral Examination 	$5 		Principal 1
Principal Financial Group		IN	Full Mouth X-rays 	$5 		Principal 1
Principal Financial Group		IN	Prophylaxis (Cleaning)	$5 		Principal 1
Principal Financial Group		IN	Amalgam (1 surface) primary/permanent 	$10 		Principal 1
Principal Financial Group		IN	Composite (tooth colored) Front Tooth 	$15 		Principal 1
Principal Financial Group		IN	Composite (tooth colored) Back Tooth 	$55 		Principal 1
Principal Financial Group		IN	Root Canal (3 Canals - Molar) 	$160 		Principal 1
Principal Financial Group		IN	Gingivectomy (per quad) 	$125 		Principal 1
Principal Financial Group		IN	Gingivectomy (per tooth) 	$25 		Principal 1
Principal Financial Group		IN	Osseous Surgery (per quad) 	$250 		Principal 1
Principal Financial Group		IN	Scaling/Root Planing (per quad) 	$35 		Principal 1
Principal Financial Group		IN	Crown (porcelain w/metal) 	$150 		Principal 1
Principal Financial Group		IN	Crown (full cast metal) 	$150 		Principal 1
Principal Financial Group		IN	Complete Denture (upper or lower) 	$200 		Principal 1
Principal Financial Group		IN	Orthodontia Services Children 	"$1,600 "		Principal 1
Principal Financial Group		IN	Orthodontia Services Adults 	"$1,800 "		Principal 1
Principal Financial Group		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300 		Principal 1
Principal Financial Group	DHMO	IN	Office Visit 	$10 		Principal 2
Principal Financial Group		IN	Oral Examination 	$10 		Principal 2
Principal Financial Group		IN	Full Mouth X-rays 	$10 		Principal 2
Principal Financial Group		IN	Prophylaxis (Cleaning)	$10 		Principal 2
Principal Financial Group		IN	Amalgam (1 surface) primary/permanent 	$20 		Principal 2
Principal Financial Group		IN	Composite (tooth colored) Front Tooth 	$25 		Principal 2
Principal Financial Group		IN	Composite (tooth colored) Back Tooth 	$55 		Principal 2
Principal Financial Group		IN	Root Canal (3 Canals - Molar) 	$160 		Principal 2
Principal Financial Group		IN	Gingivectomy (per quad) 	$145 		Principal 2
Principal Financial Group		IN	Gingivectomy (per tooth) 	$35 		Principal 2
Principal Financial Group		IN	Osseous Surgery (per quad) 	$250 		Principal 2
Principal Financial Group		IN	Scaling/Root Planing (per quad) 	$45 		Principal 2
Principal Financial Group		IN	Crown (porcelain w/metal) 	$200 		Principal 2
Principal Financial Group		IN	Crown (full cast metal) 	$200 		Principal 2
Principal Financial Group		IN	Complete Denture (upper or lower) 	$250 		Principal 2
Principal Financial Group		IN	Orthodontia Services Children 	"$1,600 "		Principal 2
Principal Financial Group		IN	Orthodontia Services Adults 	"$1,800 "		Principal 2
Principal Financial Group		IN	Orthodontia Services Retention Fees Child(ren) or Adult 	$300 		Principal 2
