Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	DPPO	IN	Calendar Year Maximum	"$2,250 "		Anthem 1
Anthem Blue Cross		IN	Calendar Year Deductible	 		Anthem 1
Anthem Blue Cross		IN	Individual	$25 		Anthem 1
Anthem Blue Cross		IN	Family	$75 		Anthem 1
Anthem Blue Cross		IN	Waived for Preventive?		Yes	Anthem 1
Anthem Blue Cross		IN	Class 1 - Preventive	100%		Anthem 1
Anthem Blue Cross		IN	Class II - Basic	80%		Anthem 1
Anthem Blue Cross		IN	Class III - Major	50%		Anthem 1
Anthem Blue Cross		IN	Class IV - Orthodontia	50%		Anthem 1
Anthem Blue Cross		IN	Orthodontia Lifetime Max	"$1,000 "		Anthem 1
Anthem Blue Cross		IN	Out of Network Reimbursement		90th	Anthem 1
Anthem Blue Cross		IN	Implant Coverage		Yes	Anthem 1
Anthem Blue Cross		OUT	Calendar Year Maximum	"$2,250 "		Anthem 1
Anthem Blue Cross		OUT	Calendar Year Deductible	 		Anthem 1
Anthem Blue Cross		OUT	Individual	$25 		Anthem 1
Anthem Blue Cross		OUT	Family	$75 		Anthem 1
Anthem Blue Cross		OUT	Waived for Preventive?		Yes	Anthem 1
Anthem Blue Cross		OUT	Class 1 - Preventive	100%		Anthem 1
Anthem Blue Cross		OUT	Class II - Basic	80%		Anthem 1
Anthem Blue Cross		OUT	Class III - Major	50%		Anthem 1
Anthem Blue Cross		OUT	Class IV - Orthodontia	50%		Anthem 1
Anthem Blue Cross		OUT	Orthodontia Lifetime Max	"$1,000 "		Anthem 1
Anthem Blue Cross		OUT	Out of Network Reimbursement		90th	Anthem 1
Anthem Blue Cross		OUT	Implant Coverage		Yes	Anthem 1
Anthem Blue Cross	DPPO	IN	Calendar Year Maximum	"$2,000 "		Anthem 2
Anthem Blue Cross		IN	Calendar Year Deductible			Anthem 2
Anthem Blue Cross		IN	Individual	$50 		Anthem 2
Anthem Blue Cross		IN	Family	$100 		Anthem 2
Anthem Blue Cross		IN	Waived for Preventive?		Yes	Anthem 2
Anthem Blue Cross		IN	Class 1 - Preventive	100%		Anthem 2
Anthem Blue Cross		IN	Class II - Basic	80%		Anthem 2
Anthem Blue Cross		IN	Class III - Major	50%		Anthem 2
Anthem Blue Cross		IN	Class IV - Orthodontia	50%		Anthem 2
Anthem Blue Cross		IN	Orthodontia Lifetime Max	"$1,000 "		Anthem 2
Anthem Blue Cross		IN	Out of Network Reimbursement		80th	Anthem 2
Anthem Blue Cross		IN	Implant Coverage		Yes	Anthem 2
Anthem Blue Cross		OUT	Calendar Year Maximum	"$1,500 "		Anthem 2
Anthem Blue Cross		OUT	Calendar Year Deductible			Anthem 2
Anthem Blue Cross		OUT	Individual	$50 		Anthem 2
Anthem Blue Cross		OUT	Family	$150 		Anthem 2
Anthem Blue Cross		OUT	Waived for Preventive?		Yes	Anthem 2
Anthem Blue Cross		OUT	Class 1 - Preventive	100%		Anthem 2
Anthem Blue Cross		OUT	Class II - Basic	80%		Anthem 2
Anthem Blue Cross		OUT	Class III - Major	50%		Anthem 2
Anthem Blue Cross		OUT	Class IV - Orthodontia	50%		Anthem 2
Anthem Blue Cross		OUT	Orthodontia Lifetime Max	"$1,000 "		Anthem 2
Anthem Blue Cross		OUT	Out of Network Reimbursement		80th	Anthem 2
Anthem Blue Cross		OUT	Implant Coverage		Yes	Anthem 2
