Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna 	DPPO	IN	Calendar Year Maximum	"$2,250"		Cigna 1
Cigna 		IN	Calendar Year Deductible	 		Cigna 1
Cigna 		IN	Individual	$25		Cigna 1
Cigna 		IN	Family	$75		Cigna 1
Cigna 		IN	Waived for Preventive?		Yes	Cigna 1
Cigna 		IN	Class 1 - Preventive	100%		Cigna 1
Cigna 		IN	Class II - Basic	80%		Cigna 1
Cigna 		IN	Class III - Major	50%		Cigna 1
Cigna 		IN	Class IV - Orthodontia	50%		Cigna 1
Cigna 		IN	Orthodontia Lifetime Max	"$1,000"		Cigna 1
Cigna 		IN	Out of Network Reimbursement		90th	Cigna 1
Cigna 		IN	Implant Coverage		Yes	Cigna 1
Cigna 		OUT	Calendar Year Maximum	"$2,250"		Cigna 1
Cigna 		OUT	Calendar Year Deductible	 		Cigna 1
Cigna 		OUT	Individual	$25		Cigna 1
Cigna 		OUT	Family	$75		Cigna 1
Cigna 		OUT	Waived for Preventive?		Yes	Cigna 1
Cigna 		OUT	Class 1 - Preventive	100%		Cigna 1
Cigna 		OUT	Class II - Basic	80%		Cigna 1
Cigna 		OUT	Class III - Major	50%		Cigna 1
Cigna 		OUT	Class IV - Orthodontia	50%		Cigna 1
Cigna 		OUT	Orthodontia Lifetime Max	"$1,000"		Cigna 1
Cigna 		OUT	Out of Network Reimbursement		90th	Cigna 1
Cigna 		OUT	Implant Coverage		Yes	Cigna 1
Cigna 	DPPO	IN	Calendar Year Maximum	"$2,000"		Cigna 2
Cigna 		IN	Calendar Year Deductible			Cigna 2
Cigna 		IN	Individual	$50		Cigna 2
Cigna 		IN	Family	$100		Cigna 2
Cigna 		IN	Waived for Preventive?		Yes	Cigna 2
Cigna 		IN	Class 1 - Preventive	100%		Cigna 2
Cigna 		IN	Class II - Basic	80%		Cigna 2
Cigna 		IN	Class III - Major	50%		Cigna 2
Cigna 		IN	Class IV - Orthodontia	50%		Cigna 2
Cigna 		IN	Orthodontia Lifetime Max	"$1,000"		Cigna 2
Cigna 		IN	Out of Network Reimbursement		80th	Cigna 2
Cigna 		IN	Implant Coverage		Yes	Cigna 2
Cigna 		OUT	Calendar Year Maximum	"$1,500"		Cigna 2
Cigna 		OUT	Calendar Year Deductible			Cigna 2
Cigna 		OUT	Individual	$50		Cigna 2
Cigna 		OUT	Family	$150		Cigna 2
Cigna 		OUT	Waived for Preventive?		Yes	Cigna 2
Cigna 		OUT	Class 1 - Preventive	100%		Cigna 2
Cigna 		OUT	Class II - Basic	80%		Cigna 2
Cigna 		OUT	Class III - Major	50%		Cigna 2
Cigna 		OUT	Class IV - Orthodontia	50%		Cigna 2
Cigna 		OUT	Orthodontia Lifetime Max	"$1,000"		Cigna 2
Cigna 		OUT	Out of Network Reimbursement		80th	Cigna 2
Cigna 		OUT	Implant Coverage		Yes	Cigna 2
