Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	HMO	AVN HMO	Basic HMO	Deductible HMO
Aetna	CA Preferred AVN HMO 1	IN	Individual Deductible	$0 			CA Preferred AVN HMO 1		
Aetna		IN	Family Deductible	$0 			CA Preferred AVN HMO 1		
Aetna		IN	Individual OOP Limit	"$1,500 "			CA Preferred AVN HMO 1		
Aetna		IN	Family OOP Limit	"$3,000 "			CA Preferred AVN HMO 1		
Aetna		IN	Co-insurance	100%			CA Preferred AVN HMO 1		
Aetna		IN	PCP	$10 			CA Preferred AVN HMO 1		
Aetna		IN	Specialist	$10 			CA Preferred AVN HMO 1		
Aetna		IN	Preventive Care	100%			CA Preferred AVN HMO 1		
Aetna		IN	Physical Therapy	$10 			CA Preferred AVN HMO 1		
Aetna		IN	Chiropractic Care		rider availble		CA Preferred AVN HMO 1		
Aetna		IN	Inpatient Hospital	100%			CA Preferred AVN HMO 1		
Aetna		IN	Outpatient Facility	100%			CA Preferred AVN HMO 1		
Aetna		IN	Outpatient Surgery	100%			CA Preferred AVN HMO 1		
Aetna		IN	Lab/X-Ray	100%	X-Ray $10 copay		CA Preferred AVN HMO 1		
Aetna		IN	Advanced Radiology	$100 			CA Preferred AVN HMO 1		
Aetna		IN	Emergency Room	$100 	waived if admitted		CA Preferred AVN HMO 1		
Aetna		IN	Ambulance	$100 			CA Preferred AVN HMO 1		
Aetna		IN	Urgent Care	$35 			CA Preferred AVN HMO 1		
Aetna		IN	Rx Generic	$10 			CA Preferred AVN HMO 1		
Aetna		IN	Rx Preferred	$20 			CA Preferred AVN HMO 1		
Aetna		IN	Rx Non-Preferred	$35 			CA Preferred AVN HMO 1		
Aetna		IN	Rx Specialty	20%	up to $150 maximum copay		CA Preferred AVN HMO 1		
Aetna		IN	Rx Mail Order	2x			CA Preferred AVN HMO 1		
Aetna		IN	Rx Individual Deductible				CA Preferred AVN HMO 1		
Aetna		IN	Rx Family Deductible				CA Preferred AVN HMO 1		
Aetna	CA Preferred AVN HMO 2	IN	Individual Deductible	$0 			CA Preferred AVN HMO 2		
Aetna		IN	Family Deductible	$0 			CA Preferred AVN HMO 2		
Aetna		IN	Individual OOP Limit	"$1,500 "			CA Preferred AVN HMO 2		
Aetna		IN	Family OOP Limit	"$3,000 "			CA Preferred AVN HMO 2		
Aetna		IN	Co-insurance	100%			CA Preferred AVN HMO 2		
Aetna		IN	PCP	$20 			CA Preferred AVN HMO 2		
Aetna		IN	Specialist	$25 			CA Preferred AVN HMO 2		
Aetna		IN	Preventive Care	100%			CA Preferred AVN HMO 2		
Aetna		IN	Physical Therapy	$25 			CA Preferred AVN HMO 2		
Aetna		IN	Chiropractic Care	 	rider availble		CA Preferred AVN HMO 2		
Aetna		IN	Inpatient Hospital	$500 	Per admit		CA Preferred AVN HMO 2		
Aetna		IN	Outpatient Facility	$200 	per visit		CA Preferred AVN HMO 2		
Aetna		IN	Outpatient Surgery	$200 	per occurance		CA Preferred AVN HMO 2		
Aetna		IN	Lab/X-Ray	100%	X-Ray $10 copay		CA Preferred AVN HMO 2		
Aetna		IN	Advanced Radiology	$100 			CA Preferred AVN HMO 2		
Aetna		IN	Emergency Room	$100 	waived if admitted		CA Preferred AVN HMO 2		
Aetna		IN	Ambulance	$100 			CA Preferred AVN HMO 2		
Aetna		IN	Urgent Care	$35 			CA Preferred AVN HMO 2		
Aetna		IN	Rx Generic	$15 			CA Preferred AVN HMO 2		
Aetna		IN	Rx Preferred	$25 			CA Preferred AVN HMO 2		
Aetna		IN	Rx Non-Preferred	$40 			CA Preferred AVN HMO 2		
Aetna		IN	Rx Specialty	20%	up to $150 maximum copay		CA Preferred AVN HMO 2		
Aetna		IN	Rx Mail Order	2x			CA Preferred AVN HMO 2		
Aetna		IN	Rx Individual Deductible				CA Preferred AVN HMO 2		
Aetna		IN	Rx Family Deductible				CA Preferred AVN HMO 2		
Aetna	CA Preferred AVN HMO 3	IN	Individual Deductible	$0 			CA Preferred AVN HMO 3		
Aetna		IN	Family Deductible	$0 			CA Preferred AVN HMO 3		
Aetna		IN	Individual OOP Limit	"$2,000 "			CA Preferred AVN HMO 3		
Aetna		IN	Family OOP Limit	"$4,000 "			CA Preferred AVN HMO 3		
Aetna		IN	Co-insurance	100%			CA Preferred AVN HMO 3		
Aetna		IN	PCP	$30 			CA Preferred AVN HMO 3		
Aetna		IN	Specialist	$50 			CA Preferred AVN HMO 3		
Aetna		IN	Preventive Care	100%			CA Preferred AVN HMO 3		
Aetna		IN	Physical Therapy	$50 			CA Preferred AVN HMO 3		
Aetna		IN	Chiropractic Care		rider availble		CA Preferred AVN HMO 3		
Aetna		IN	Inpatient Hospital	"$1,500 "	per admit		CA Preferred AVN HMO 3		
Aetna		IN	Outpatient Facility	$300 	per occurance		CA Preferred AVN HMO 3		
Aetna		IN	Outpatient Surgery	$300 	per occurance		CA Preferred AVN HMO 3		
Aetna		IN	Lab/X-Ray	100%	X-Ray $10 copay		CA Preferred AVN HMO 3		
Aetna		IN	Advanced Radiology	$100 			CA Preferred AVN HMO 3		
Aetna		IN	Emergency Room	$100 	waived if admitted		CA Preferred AVN HMO 3		
Aetna		IN	Ambulance	$100 			CA Preferred AVN HMO 3		
Aetna		IN	Urgent Care	$35 			CA Preferred AVN HMO 3		
Aetna		IN	Rx Generic	$20 			CA Preferred AVN HMO 3		
Aetna		IN	Rx Preferred	$35 			CA Preferred AVN HMO 3		
Aetna		IN	Rx Non-Preferred	$50 			CA Preferred AVN HMO 3		
Aetna		IN	Rx Specialty	20%	up to $150 maximum copay		CA Preferred AVN HMO 3		
Aetna		IN	Rx Mail Order	2x			CA Preferred AVN HMO 3		
Aetna		IN	Rx Individual Deductible				CA Preferred AVN HMO 3		
Aetna		IN	Rx Family Deductible				CA Preferred AVN HMO 3		
Aetna	CA Preferred HMO Deductible plan 1	IN	Individual Deductible	$100 					CA Preferred HMO Deductible plan 1
Aetna		IN	Family Deductible	$200 					CA Preferred HMO Deductible plan 1
Aetna		IN	Individual OOP Limit	"$2,000 "					CA Preferred HMO Deductible plan 1
Aetna		IN	Family OOP Limit	"$4,000 "					CA Preferred HMO Deductible plan 1
Aetna		IN	Co-insurance	100%					CA Preferred HMO Deductible plan 1
Aetna		IN	PCP	$15 					CA Preferred HMO Deductible plan 1
Aetna		IN	Specialist	$20 					CA Preferred HMO Deductible plan 1
Aetna		IN	Preventive Care	100%					CA Preferred HMO Deductible plan 1
Aetna		IN	Physical Therapy	$20 					CA Preferred HMO Deductible plan 1
Aetna		IN	Chiropractic Care		rider availble				CA Preferred HMO Deductible plan 1
Aetna		IN	Inpatient Hospital	10%	after deductible				CA Preferred HMO Deductible plan 1
Aetna		IN	Outpatient Facility	$250 	per occurance after deductible				CA Preferred HMO Deductible plan 1
Aetna		IN	Outpatient Surgery	10%	after deductible				CA Preferred HMO Deductible plan 1
Aetna		IN	Lab/X-Ray	100%	X-Ray $10 copay				CA Preferred HMO Deductible plan 1
Aetna		IN	Advanced Radiology	$150 					CA Preferred HMO Deductible plan 1
Aetna		IN	Emergency Room	$100 	per occurance after deductible				CA Preferred HMO Deductible plan 1
Aetna		IN	Ambulance	$100 	per occurance after deductible				CA Preferred HMO Deductible plan 1
Aetna		IN	Urgent Care	$35 					CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Generic	$10 					CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Preferred	$20 					CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Non-Preferred	$35 					CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Specialty	20%	up to $150 maximum copay				CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Mail Order	2x					CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Individual Deductible						CA Preferred HMO Deductible plan 1
Aetna		IN	Rx Family Deductible						CA Preferred HMO Deductible plan 1
Aetna	CA Preferred HMO Deductible plan 2	IN	Individual Deductible	$250 					CA Preferred HMO Deductible plan 2
Aetna		IN	Family Deductible	$500 					CA Preferred HMO Deductible plan 2
Aetna		IN	Individual OOP Limit	"$2,500 "					CA Preferred HMO Deductible plan 2
Aetna		IN	Family OOP Limit	"$5,000 "					CA Preferred HMO Deductible plan 2
Aetna		IN	Co-insurance	100%					CA Preferred HMO Deductible plan 2
Aetna		IN	PCP	$20 					CA Preferred HMO Deductible plan 2
Aetna		IN	Specialist	$25 					CA Preferred HMO Deductible plan 2
Aetna		IN	Preventive Care	100%					CA Preferred HMO Deductible plan 2
Aetna		IN	Physical Therapy	$25 					CA Preferred HMO Deductible plan 2
Aetna		IN	Chiropractic Care		rider availble				CA Preferred HMO Deductible plan 2
Aetna		IN	Inpatient Hospital	20%	after deductible				CA Preferred HMO Deductible plan 2
Aetna		IN	Outpatient Facility	$250 	per occurance after deductible				CA Preferred HMO Deductible plan 2
Aetna		IN	Outpatient Surgery	20%	after deductible				CA Preferred HMO Deductible plan 2
Aetna		IN	Lab/X-Ray	100%	X-Ray $10 copay				CA Preferred HMO Deductible plan 2
Aetna		IN	Advanced Radiology	$150 					CA Preferred HMO Deductible plan 2
Aetna		IN	Emergency Room	$100 	per occurance after deductible				CA Preferred HMO Deductible plan 2
Aetna		IN	Ambulance	$100 	per occurance after deductible				CA Preferred HMO Deductible plan 2
Aetna		IN	Urgent Care	$35 					CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Generic	$15 					CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Preferred	$25 					CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Non-Preferred	$40 					CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Specialty	20%	up to $150 maximum copay				CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Mail Order	2x					CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Individual Deductible						CA Preferred HMO Deductible plan 2
Aetna		IN	Rx Family Deductible						CA Preferred HMO Deductible plan 2
Aetna	CA Preferred HMO Deductible plan 3	IN	Individual Deductible	$500 					CA Preferred HMO Deductible plan 3
Aetna		IN	Family Deductible	"$1,000 "					CA Preferred HMO Deductible plan 3
