Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Access + HMO	Local Access + HMO	Access + HMO Savenet
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Individual Deductible	$0 		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Family Deductible	$0 		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Individual OOP Limit	"$1,000 "		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Family OOP Limit	"$2,000 "		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Co-insurance	100%		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	PCP	$10 	$20 for Access+ Specialist 	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Specialist	$10 		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Preventive Care	100%		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Physical Therapy	$10 		Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
Blue Shield	Access + HMO ZERO ADMIT 10	IN	Chiropractic Care		Rider available	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10	Access + HMO ZERO ADMIT 10
