Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	HMO	HMO Excelcare	EOA	EOA Excelcare	S.CA Smartcare	N.CA Smartcare	Salud HMO y Mas Mexico	Salud HMO y Mas San Diego
Healthnet	HMO 10/0	IN	Individual Deductible	$0 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Family Deductible	$0 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Individual OOP Limit	"$1,500 "		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Family OOP Limit	"$4,500 "		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Co-insurance	100%		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	PCP	$10 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Specialist	$10 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Preventive Care	100%		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Physical Therapy	$10 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Chiropractic Care		Rider available	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Inpatient Hospital	100%		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Outpatient Facility	100%		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Outpatient Surgery	100%		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Lab/X-Ray	100%		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Advanced Radiology	$100 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Emergency Room	$100 	waived if admitted	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Ambulance	$100 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Urgent Care	$10 		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Generic		Separate from Medical 	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Preferred		Separate from Medical 	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Non-Preferred		Separate from Medical 	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Specialty	20%	up to $100 maximum copay	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Mail Order	2x		9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Individual Deductible			9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Rx Family Deductible			9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/0	IN	Skilled Nursing	100%	No charge days (1-10) $25 per day days (11-100)	9IY	9IK	9UT	9TZ				
Healthnet	HMO 10/250a	IN	Individual Deductible	$0 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Family Deductible	$0 		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Individual OOP Limit	"$1,500 "		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Family OOP Limit	"$4,500 "		9IZ	9IL	9UU	9UB				
Healthnet	HMO 10/250a	IN	Co-insurance	100%		9IZ	9IL	9UU	9UB				
