Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Guardian	Life	IN	Benefit Class 1	 	"2X to $500,000"	Guardian 1
Guardian		IN	Benefit Class 2	 	"1X to $100,000"	Guardian 1
Guardian		IN	Age Reduction		65% @ age 65	Guardian 1
Guardian		IN	Age Reduction 2		50% @ age 70	Guardian 1
Guardian		IN	Age Reduction 3 		35% @ age 75	Guardian 1
Guardian		IN	Portability		Yes	Guardian 1
Guardian		IN	Conversion		Included	Guardian 1
Guardian		IN	Death Benefit		Same as Basic Life	Guardian 1
Guardian		IN	Dismemberment Benefit		25% -100%	Guardian 1
Guardian		IN	Coma Benefit	1%	monthly up to 60 months	Guardian 1
Guardian		IN	Paralysis Benefit		25% -100%	Guardian 1
Guardian		IN	Benefit Class 1	 	"2X to $700,000"	Guardian 2
Guardian		IN	Benefit Class 2	 	"1X to $200,000"	Guardian 2
Guardian		IN	Age Reduction		65% @ age 65	Guardian 2
Guardian		IN	Age Reduction 2		50% @ age 70	Guardian 2
Guardian		IN	Age Reduction 3 		35% @ age 75	Guardian 2
Guardian		IN	Portability		Yes	Guardian 2
Guardian		IN	Conversion		Included	Guardian 2
Guardian		IN	Death Benefit		Same as Basic Life	Guardian 2
Guardian		IN	Dismemberment Benefit		25% -100%	Guardian 2
Guardian		IN	Coma Benefit		1% monthly up to 60 months	Guardian 2
Guardian		IN	Paralysis Benefit		25% -100%	Guardian 2
