Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	LTD	IN	LTD Benefit	60%		Anthem Plan 1
Anthem Blue Cross		IN	LTD Monthly Max	"$5,000 "		Anthem Plan 1
Anthem Blue Cross		IN	LTD Elimination	90	days	Anthem Plan 1
Anthem Blue Cross		IN	LTD Max Benefit Period		Age 65	Anthem Plan 1
Anthem Blue Cross		IN	LTD Pre-existing Limits		12/12	Anthem Plan 1
Anthem Blue Cross	LTD	IN	LTD Benefit	60%		Anthem Plan 2
Anthem Blue Cross		IN	LTD Monthly Max	"$6,000 "		Anthem Plan 2
Anthem Blue Cross		IN	LTD Elimination	90	days	Anthem Plan 2
Anthem Blue Cross		IN	LTD Max Benefit Period		Age 65	Anthem Plan 2
Anthem Blue Cross		IN	LTD Pre-existing Limits		12/12	Anthem Plan 2
