Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna 	LTD	IN	LTD Benefit	60%		Cigna Plan 1
Cigna 		IN	LTD Monthly Max	"$5,000 "		Cigna Plan 1
Cigna 		IN	LTD Elimination	90	days	Cigna Plan 1
Cigna 		IN	LTD Max Benefit Period		Age 65	Cigna Plan 1
Cigna 		IN	LTD Pre-existing Limits		12/12	Cigna Plan 1
Cigna 	LTD	IN	LTD Benefit	60%		Cigna Plan 2
Cigna 		IN	LTD Monthly Max	"$6,000 "		Cigna Plan 2
Cigna 		IN	LTD Elimination	90	days	Cigna Plan 2
Cigna 		IN	LTD Max Benefit Period		Age 65	Cigna Plan 2
Cigna 		IN	LTD Pre-existing Limits		12/12	Cigna Plan 2
