Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Principal Financial Group	LTD	IN	LTD Benefit	60%		Principal 1
Principal Financial Group		IN	LTD Monthly Max	"$5,000 "		Principal 1
Principal Financial Group		IN	LTD Elimination	90	days	Principal 1
Principal Financial Group		IN	LTD Max Benefit Period		Age 65	Principal 1
Principal Financial Group		IN	LTD Pre-existing Limits		12/12	Principal 1
Principal Financial Group	LTD	IN	LTD Benefit	60%		Principal 2
Principal Financial Group		IN	LTD Monthly Max	"$6,000 "		Principal 2
Principal Financial Group		IN	LTD Elimination	90	days	Principal 2
Principal Financial Group		IN	LTD Max Benefit Period		Age 65	Principal 2
Principal Financial Group		IN	LTD Pre-existing Limits		12/12	Principal 2
