Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Full Network	Unlimited Rollover	1x Rollover	2x Rollover
Anthem Blue Cross	Premier PPO 150/10/10	IN	Individual Deductible	$150 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Family Deductible	$450 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Individual OOP Limit	"$2,000 "		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Family OOP Limit	"$4,000 "		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Co-insurance	90%		Premier PPO 150/10/10			
Anthem Blue Cross		IN	PCP	$10 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Specialist	$10 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Preventive Care		No Charge	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Physical Therapy	10%	24 visit max per cal yr (after deductible)	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Chiropractic Care	10%	24 visit max per cal yr (after deductible)	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Inpatient Hospital	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Outpatient Facility	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Outpatient Surgery	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Lab/X-Ray	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Advanced Radiology	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Ambulance	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Urgent Care	$10 	ded. waived	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Generic	$10 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Preferred	$25 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Non-Preferred	$45 		Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Specialty	20%	$150 max per Rx 	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Mail Order	2x	copay except generic	Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Individual Deductible			Premier PPO 150/10/10			
Anthem Blue Cross		IN	Rx Family Deductible			Premier PPO 150/10/10			
Anthem Blue Cross		IN	Skilled Nursing	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Individual Deductible	$150 		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Family Deductible	$450 		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Individual OOP Limit	"$6,000 "		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Family OOP Limit	"$12,000 "		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Co-insurance	70%		Premier PPO 150/10/10			
Anthem Blue Cross		OUT	PCP	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Specialist	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Preventive Care	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Physical Therapy	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Chiropractic Care	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Inpatient Hospital	$250 	"plus 30%, after deductible"	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Outpatient Facility	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Outpatient Surgery	30%	$350 coverage max (after deductible)	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Lab/X-Ray	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Advanced Radiology	30%	$800 coverage max (after deductible)	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Emergency Room	$100 	"plus 10%, Copay waived if admitted (after deductible)"	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Ambulance	10%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Urgent Care	30%	after deductible	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Rx Generic	$10 	plus 50%	Premier PPO 150/10/10			
Anthem Blue Cross		OUT	Rx Preferred	$50 	plus 50%	Premier PPO 150/10/10			
