Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Select Network
Blue Shield	Comb. Ded. 25-250 90/60	IN	Individual Deductible	$250		Comb. Ded. 25-250 90/60
Blue Shield		IN	Family Deductible	$500		Comb. Ded. 25-250 90/60
Blue Shield		IN	Individual OOP Limit	"$3,250"		Comb. Ded. 25-250 90/60
Blue Shield		IN	Family OOP Limit	"$6,500"		Comb. Ded. 25-250 90/60
Blue Shield		IN	Co-insurance	90%		Comb. Ded. 25-250 90/60
Blue Shield		IN	PCP	$25	ded. Waived	Comb. Ded. 25-250 90/60
Blue Shield		IN	Specialist	$25	ded. Waived	Comb. Ded. 25-250 90/60
Blue Shield		IN	Preventive Care	100%	ded. Waived	Comb. Ded. 25-250 90/60
Blue Shield		IN	Physical Therapy	$25	ded. Waived	Comb. Ded. 25-250 90/60
Blue Shield		IN	Chiropractic Care	$25	12 vists max per cal yr.	Comb. Ded. 25-250 90/60
Blue Shield		IN	Inpatient Hospital	10%	$100	Comb. Ded. 25-250 90/60
Blue Shield		IN	Outpatient Facility	$100	"plus 10%, after deductible"	Comb. Ded. 25-250 90/60
Blue Shield		IN	Outpatient Surgery	10%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		IN	Lab/X-Ray	$25	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		IN	Advanced Radiology	$100	"plus 10%, after deductible"	Comb. Ded. 25-250 90/60
Blue Shield		IN	Emergency Room	$100	"plus 10%, after deductible"	Comb. Ded. 25-250 90/60
Blue Shield		IN	Ambulance	10%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		IN	Urgent Care	$25		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Generic	$10		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Preferred	$20		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Non-Preferred	$40		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Specialty	20%		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Mail Order	2x		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Individual Deductible	$0		Comb. Ded. 25-250 90/60
Blue Shield		IN	Rx Family Deductible	$0		Comb. Ded. 25-250 90/60
Blue Shield		IN	Skilled Nursing	10%	100 day max after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Individual Deductible	$250		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Family Deductible	$500		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Individual OOP Limit	"$7,750"		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Family OOP Limit	"$15,500"		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Co-insurance	60%		Comb. Ded. 25-250 90/60
Blue Shield		OUT	PCP	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Specialist	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Preventive Care	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Physical Therapy	50%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Chiropractic Care	50%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Inpatient Hospital	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Outpatient Facility	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Outpatient Surgery	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Lab/X-Ray	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Advanced Radiology	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Emergency Room	$100	"plus 10%, after deductible"	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Ambulance	10%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Urgent Care	40%	after deductible	Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Generic	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Preferred	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Non-Preferred	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Specialty	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Mail Order	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Individual Deductible	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Rx Family Deductible	n/a		Comb. Ded. 25-250 90/60
Blue Shield		OUT	Skilled Nursing	40%	100 day max after deductible	Comb. Ded. 25-250 90/60
Blue Shield	Comb. Ded. 30-500 90/60	IN	Individual Deductible	$500		Comb. Ded. 30-500 90/60
Blue Shield		IN	Family Deductible	"$1,000"		Comb. Ded. 30-500 90/60
Blue Shield		IN	Individual OOP Limit	"$3,500"		Comb. Ded. 30-500 90/60
Blue Shield		IN	Family OOP Limit	"$7,000"		Comb. Ded. 30-500 90/60
Blue Shield		IN	Co-insurance	90%		Comb. Ded. 30-500 90/60
Blue Shield		IN	PCP	$30	ded. Waived	Comb. Ded. 30-500 90/60
Blue Shield		IN	Specialist	$30	ded. Waived	Comb. Ded. 30-500 90/60
