Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Full Network 
Cigna	OAP A	IN	Individual Deductible	$250	Embedded	OAP A 
Cigna		IN	Family Deductible	$500	Embedded	OAP A 
Cigna		IN	Individual OOP Limit	"$1,000"		OAP A 
Cigna		IN	Family OOP Limit	"$2,000"		OAP A 
Cigna		IN	Co-insurance	90%		OAP A 
Cigna		IN	PCP	$10		OAP A 
Cigna		IN	Specialist	$10		OAP A 
Cigna		IN	Preventive Care	100%		OAP A 
Cigna		IN	Physical Therapy	$10	20 visit max combined therapies	OAP A 
Cigna		IN	Chiropractic Care	$10	20 visit max combined therapies	OAP A 
Cigna		IN	Inpatient Hospital	10%	after deductible	OAP A 
Cigna		IN	Outpatient Facility	10%	after deductible	OAP A 
Cigna		IN	Outpatient Surgery	10%	after deductible	OAP A 
Cigna		IN	Lab/X-Ray	10%	after deductible	OAP A 
Cigna		IN	Advanced Radiology	10%	after deductible	OAP A 
Cigna		IN	Emergency Room	$100	plus 10%	OAP A 
Cigna		IN	Ambulance	10%	after deductible	OAP A 
Cigna		IN	Urgent Care	$25	deductible waived	OAP A 
Cigna		IN	Rx Generic	$10		OAP A 
Cigna		IN	Rx Preferred	$20		OAP A 
Cigna		IN	Rx Non-Preferred	$40		OAP A 
Cigna		IN	Rx Specialty	$40		OAP A 
Cigna		IN	Rx Mail Order	2x	copay	OAP A 
Cigna		IN	Rx Individual Deductible	n/a		OAP A 
Cigna		IN	Rx Family Deductible	n/a		OAP A 
Cigna		IN	Skilled Nursing	10%	60 visit max (after deductible)	OAP A 
Cigna		OUT	Individual Deductible	$500	Embedded	OAP A 
Cigna		OUT	Family Deductible	"$1,000"	Embedded	OAP A 
Cigna		OUT	Individual OOP Limit	"$3,000"		OAP A 
Cigna		OUT	Family OOP Limit	"$6,000"		OAP A 
Cigna		OUT	Co-insurance	60%		OAP A 
Cigna		OUT	PCP	40%	after deductible	OAP A 
Cigna		OUT	Specialist	40%	after deductible	OAP A 
Cigna		OUT	Preventive Care	40%	after deductible	OAP A 
Cigna		OUT	Physical Therapy	40%	20 visit max combined therapies (after deductible) 	OAP A 
Cigna		OUT	Chiropractic Care	40%	20 visit max combined therapies (after deductible) 	OAP A 
Cigna		OUT	Inpatient Hospital	$500	"plus 40%, after deductible"	OAP A 
Cigna		OUT	Outpatient Facility	$250	"plus 40%, after deductible"	OAP A 
Cigna		OUT	Outpatient Surgery	$250	"plus 40%, after deductible"	OAP A 
Cigna		OUT	Lab/X-Ray	40%	after deductible	OAP A 
Cigna		OUT	Advanced Radiology	40%	after deductible	OAP A 
Cigna		OUT	Emergency Room	$100	plus 10%	OAP A 
Cigna		OUT	Ambulance	10%	after deductible	OAP A 
Cigna		OUT	Urgent Care	$25		OAP A 
Cigna		OUT	Rx Generic	Not Covered		OAP A 
Cigna		OUT	Rx Preferred	Not Covered		OAP A 
Cigna		OUT	Rx Non-Preferred	Not Covered		OAP A 
Cigna		OUT	Rx Specialty	Not Covered		OAP A 
Cigna		OUT	Rx Mail Order	Not Covered		OAP A 
Cigna		OUT	Rx Individual Deductible	n/a		OAP A 
Cigna		OUT	Rx Family Deductible	n/a		OAP A 
Cigna		OUT	Skilled Nursing	40%	60 day max (after deductible) 	OAP A 
Cigna	OAP B	IN	Individual Deductible	$250	Embedded	OAP B
Cigna		IN	Family Deductible	$500	Embedded	OAP B
Cigna		IN	Individual OOP Limit	"$2,000"		OAP B
Cigna		IN	Family OOP Limit	"$4,000"		OAP B
Cigna		IN	Co-insurance	90%		OAP B
Cigna		IN	PCP	$20		OAP B
Cigna		IN	Specialist	$20		OAP B
Cigna		IN	Preventive Care	100%		OAP B
Cigna		IN	Physical Therapy	$20	20 visit max combined therapies	OAP B
Cigna		IN	Chiropractic Care	$20	20 visit max combined therapies	OAP B
Cigna		IN	Inpatient Hospital	$250	"plus 10%, after deductible"	OAP B
Cigna		IN	Outpatient Facility	$125	"plus 10%, after deductible"	OAP B
Cigna		IN	Outpatient Surgery	$125	"plus 10%, after deductible"	OAP B
Cigna		IN	Lab/X-Ray	10%	after deductible	OAP B
Cigna		IN	Advanced Radiology	10%	after deductible	OAP B
Cigna		IN	Emergency Room	$100	plus 10%	OAP B
Cigna		IN	Ambulance	10%	after deductible	OAP B
Cigna		IN	Urgent Care	$25	deductible waived	OAP B
Cigna		IN	Rx Generic	$10		OAP B
Cigna		IN	Rx Preferred	$20		OAP B
Cigna		IN	Rx Non-Preferred	$40		OAP B
Cigna		IN	Rx Specialty	$40		OAP B
Cigna		IN	Rx Mail Order	2x	copay	OAP B
Cigna		IN	Rx Individual Deductible	n/a		OAP B
Cigna		IN	Rx Family Deductible	n/a		OAP B
Cigna		IN	Skilled Nursing	10%	60 day max (after deductible) 	OAP B
Cigna		OUT	Individual Deductible	$750	Embedded	OAP B
Cigna		OUT	Family Deductible	"$1,500"	Embedded	OAP B
Cigna		OUT	Individual OOP Limit	"$4,000"		OAP B
Cigna		OUT	Family OOP Limit	"$8,000"		OAP B
Cigna		OUT	Co-insurance	70%		OAP B
Cigna		OUT	PCP	30%	after deductible	OAP B
Cigna		OUT	Specialist	30%	after deductible	OAP B
Cigna		OUT	Preventive Care	30%	after deductible	OAP B
Cigna		OUT	Physical Therapy	30%	20 visit max combined therapies (after deductible) 	OAP B
Cigna		OUT	Chiropractic Care	30%	20 visit max combined therapies (after deductible) 	OAP B
Cigna		OUT	Inpatient Hospital	$500	"plus 30%, after deductible"	OAP B
Cigna		OUT	Outpatient Facility	$250	"plus 30%, after deductible"	OAP B
Cigna		OUT	Outpatient Surgery	$250	"plus 30%, after deductible"	OAP B
Cigna		OUT	Lab/X-Ray	30%	after deductible	OAP B
Cigna		OUT	Advanced Radiology	30%	after deductible	OAP B
Cigna		OUT	Emergency Room	$100	plus 10%	OAP B
Cigna		OUT	Ambulance	10%	after deductible	OAP B
Cigna		OUT	Urgent Care	$25		OAP B
Cigna		OUT	Rx Generic	Not Covered		OAP B
Cigna		OUT	Rx Preferred	Not Covered		OAP B
Cigna		OUT	Rx Non-Preferred	Not Covered		OAP B
Cigna		OUT	Rx Specialty	Not Covered		OAP B
Cigna		OUT	Rx Mail Order	Not Covered		OAP B
Cigna		OUT	Rx Individual Deductible	n/a		OAP B
Cigna		OUT	Rx Family Deductible	n/a		OAP B
Cigna		OUT	Skilled Nursing	30%	60 day max (after deductible) 	OAP B
Cigna	OAP C	IN	Individual Deductible	$250	Embedded	OAP C
Cigna		IN	Family Deductible	$500	Embedded	OAP C
Cigna		IN	Individual OOP Limit	"$2,000"		OAP C
Cigna		IN	Family OOP Limit	"$4,000"		OAP C
Cigna		IN	Co-insurance	80%		OAP C
Cigna		IN	PCP	$20		OAP C
Cigna		iN	Specialist	$20		OAP C
Cigna		IN	Preventive Care	100%		OAP C
Cigna		IN	Physical Therapy	$20	20 visit max combined therapies	OAP C
Cigna		IN	Chiropractic Care	$20	20 visit max combined therapies	OAP C
Cigna		IN	Inpatient Hospital	20%	after deductible	OAP C
Cigna		IN	Outpatient Facility	20%	after deductible	OAP C
Cigna		IN	Outpatient Surgery	20%	after deductible	OAP C
Cigna		IN	Lab/X-Ray	20%	after deductible	OAP C
Cigna		IN	Advanced Radiology	20%	after deductible	OAP C
Cigna		IN	Emergency Room	$150	plus 20%	OAP C
Cigna		IN	Ambulance	20%	after deductible	OAP C
Cigna		IN	Urgent Care	$25	deductible waived	OAP C
Cigna		IN	Rx Generic	$10		OAP C
Cigna		IN	Rx Preferred	$20		OAP C
Cigna		IN	Rx Non-Preferred	$40		OAP C
Cigna		IN	Rx Specialty	$40		OAP C
Cigna		IN	Rx Mail Order	2x	copay	OAP C
Cigna		IN	Rx Individual Deductible	n/a		OAP C
Cigna		IN	Rx Family Deductible	n/a		OAP C
Cigna		IN	Skilled Nursing	20%	60 day max (after deductible) 	OAP C
Cigna		OUT	Individual Deductible	$750	Embedded	OAP C
Cigna		OUT	Family Deductible	"$1,500"	Embedded	OAP C
Cigna		OUT	Individual OOP Limit	"$6,000"		OAP C
Cigna		OUT	Family OOP Limit	"$12,000"		OAP C
Cigna		OUT	Co-insurance	60%		OAP C
Cigna		OUT	PCP	40%	after deductible	OAP C
Cigna		OUT	Specialist	40%	after deductible	OAP C
Cigna		OUT	Preventive Care	40%	after deductible	OAP C
Cigna		OUT	Physical Therapy	40%	20 visit max combined therapies (after deductible) 	OAP C
Cigna		OUT	Chiropractic Care	40%	20 visit max combined therapies (after deductible) 	OAP C
Cigna		OUT	Inpatient Hospital	40%	after deductible	OAP C
Cigna		OUT	Outpatient Facility	40%	after deductible	OAP C
Cigna		OUT	Outpatient Surgery	40%	after deductible	OAP C
Cigna		OUT	Lab/X-Ray	40%	after deductible	OAP C
Cigna		OUT	Advanced Radiology	40%	after deductible	OAP C
Cigna		OUT	Emergency Room	$150	plus 10%	OAP C
Cigna		OUT	Ambulance	20%	after deductible	OAP C
Cigna		OUT	Urgent Care	$25		OAP C
Cigna		OUT	Rx Generic	Not Covered		OAP C
Cigna		OUT	Rx Preferred	Not Covered		OAP C
Cigna		OUT	Rx Non-Preferred	Not Covered		OAP C
Cigna		OUT	Rx Specialty	Not Covered		OAP C
Cigna		OUT	Rx Mail Order	Not Covered		OAP C
Cigna		OUT	Rx Individual Deductible	n/a 		OAP C
Cigna		OUT	Rx Family Deductible	n/a		OAP C
Cigna		OUT	Skilled Nursing	40%	60 day max (after deductible) 	OAP C
Cigna	OAP D	IN	Individual Deductible	$500	Embedded	OAP D
Cigna		IN	Family Deductible	"$1,500"	Embedded	OAP D
Cigna		IN	Individual OOP Limit	"$3,000"		OAP D
Cigna		IN	Family OOP Limit	"$6,000"		OAP D
Cigna		IN	Co-insurance	80%		OAP D
Cigna		IN	PCP	$20		OAP D
Cigna		IN	Specialist	$20		OAP D
Cigna		IN	Preventive Care	100%		OAP D
Cigna		IN	Physical Therapy	$20	20 visit max combined therapies (after deductible) 	OAP D
Cigna		IN	Chiropractic Care	$20	20 visit max combined therapies (after deductible) 	OAP D
Cigna		IN	Inpatient Hospital	$250	"plus 20%, after deductible"	OAP D
Cigna		IN	Outpatient Facility	$125	"plus 20%, after deductible"	OAP D
Cigna		IN	Outpatient Surgery	$125	"plus 20%, after deductible"	OAP D
Cigna		IN	Lab/X-Ray	20%	after deductible	OAP D
Cigna		IN	Advanced Radiology	20%	after deductible	OAP D
Cigna		IN	Emergency Room	$150	plus 20%	OAP D
Cigna		IN	Ambulance	20%	after deductible	OAP D
Cigna		IN	Urgent Care	$25	deductible waived	OAP D
Cigna		IN	Rx Generic	$10		OAP D
Cigna		IN	Rx Preferred	$20		OAP D
Cigna		IN	Rx Non-Preferred	$40		OAP D
Cigna		IN	Rx Specialty	$40		OAP D
Cigna		IN	Rx Mail Order	2x	copay	OAP D
Cigna		IN	Rx Individual Deductible	n/a		OAP D
Cigna		IN	Rx Family Deductible	n/a		OAP D
Cigna		IN	Skilled Nursing	20%	60 visit max (after deductible)	OAP D
Cigna		OUT	Individual Deductible	$750		OAP D
Cigna		OUT	Family Deductible	"$2,250"	Embedded	OAP D
Cigna		OUT	Individual OOP Limit	"$6,000"	Embedded	OAP D
Cigna		OUT	Family OOP Limit	"$12,000"		OAP D
Cigna		OUT	Co-insurance	60%		OAP D
Cigna		OUT	PCP	40%	after deductible	OAP D
Cigna		OUT	Specialist	40%	after deductible	OAP D
Cigna		OUT	Preventive Care	40%	after deductible	OAP D
Cigna		OUT	Physical Therapy	40%	20 visit max combined therapies	OAP D
Cigna		OUT	Chiropractic Care	40%	20 visit max combined therapies	OAP D
Cigna		OUT	Inpatient Hospital	$500	"plus 40%, after deductible"	OAP D
Cigna		OUT	Outpatient Facility	$250	"plus 40%, after deductible"	OAP D
Cigna		OUT	Outpatient Surgery	$250	"plus 40%, after deductible"	OAP D
Cigna		OUT	Lab/X-Ray	40%	after deductible	OAP D
Cigna		OUT	Advanced Radiology	40%	after deductible	OAP D
Cigna		OUT	Emergency Room	$150	plus 20%	OAP D
Cigna		OUT	Ambulance	20%	after deductible	OAP D
Cigna		OUT	Urgent Care	$25		OAP D
Cigna		OUT	Rx Generic	Not Covered		OAP D
Cigna		OUT	Rx Preferred	Not Covered		OAP D
Cigna		OUT	Rx Non-Preferred	Not Covered		OAP D
Cigna		OUT	Rx Specialty	Not Covered		OAP D
Cigna		OUT	Rx Mail Order	Not Covered		OAP D
Cigna		OUT	Rx Individual Deductible	n/a		OAP D
Cigna		OUT	Rx Family Deductible	n/a		OAP D
Cigna		OUT	Skilled Nursing	40%	after deductible 60 day combined max in and out	OAP D
Cigna	OAP E	IN	Individual Deductible	$750	Embedded	OAP E
Cigna		IN	Family Deductible	"$1,500"	Embedded	OAP E
Cigna		IN	Individual OOP Limit	"$3,500"		OAP E
Cigna		IN	Family OOP Limit	"$7,000"		OAP E
Cigna		IN	Co-insurance	80%		OAP E
Cigna		IN	PCP	$20		OAP E
Cigna		IN	Specialist	$40		OAP E
Cigna		IN	Preventive Care	100%		OAP E
Cigna		IN	Physical Therapy	$40	20 visit max combined therapies (after deductible) 	OAP E
Cigna		IN	Chiropractic Care	$40	20 visit max combined therapies (after deductible) 	OAP E
Cigna		IN	Inpatient Hospital	$500	"plus 20%, after deductible"	OAP E
Cigna		IN	Outpatient Facility	$250	"plus 20%, after deductible"	OAP E
Cigna		IN	Outpatient Surgery	$250	"plus 20%, after deductible"	OAP E
Cigna		IN	Lab/X-Ray	20%	after deductible	OAP E
Cigna		IN	Advanced Radiology	20%	after deductible	OAP E
Cigna		IN	Emergency Room	$150	plus 20%	OAP E
Cigna		IN	Ambulance	20%	after deductible	OAP E
Cigna		IN	Urgent Care	$25	deductible waived	OAP E
Cigna		IN	Rx Generic	$15		OAP E
Cigna		IN	Rx Preferred	$30		OAP E
Cigna		IN	Rx Non-Preferred	$50		OAP E
Cigna		IN	Rx Specialty	$50		OAP E
Cigna		IN	Rx Mail Order	2x	copay	OAP E
Cigna		IN	Rx Individual Deductible	n/a		OAP E
Cigna		IN	Rx Family Deductible	n/a		OAP E
Cigna		IN	Skilled Nursing	20%	after deductible 60 day combined max in and out	OAP E
Cigna		OUT	Individual Deductible	"$1,500"	Embedded	OAP E
Cigna		OUT	Family Deductible	"$3,000"	Embedded	OAP E
Cigna		OUT	Individual OOP Limit	"$10,500"		OAP E
