Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	VISION	IN	Exams Frequency 	12	months	Anthem 1
Anthem Blue Cross		IN	Lenses Frequency	12	months	Anthem 1
Anthem Blue Cross		IN	Frames Frequency	24	months	Anthem 1
Anthem Blue Cross		IN	Exam Copay	$20		Anthem 1
Anthem Blue Cross		IN	Materials Copay	n/a		Anthem 1
Anthem Blue Cross		IN	Vision Exam	 	Covered in Full	Anthem 1
Anthem Blue Cross		IN	Single Vision Lens	 	Covered in Full	Anthem 1
Anthem Blue Cross		IN	Bifocal Lens	 	Covered in Full	Anthem 1
Anthem Blue Cross		IN	Trifocal Lens	 	Covered in Full	Anthem 1
Anthem Blue Cross		IN	Lenticular Lenses	 	Covered in Full	Anthem 1
Anthem Blue Cross		IN	Contacts Elective	$130	Allowance	Anthem 1
Anthem Blue Cross		IN	Contacts Therapeutic	 	Covered in Full	Anthem 1
Anthem Blue Cross		IN	Frames	$130	Allowance	Anthem 1
Anthem Blue Cross		OUT	Exams Frequency 	12	months	Anthem 1
Anthem Blue Cross		OUT	Lenses Frequency	12	months	Anthem 1
Anthem Blue Cross		OUT	Frames Frequency	24	months	Anthem 1
Anthem Blue Cross		OUT	Exam Copay	 		Anthem 1
Anthem Blue Cross		OUT	Materials Copay	 		Anthem 1
Anthem Blue Cross		OUT	Vision Exam	$45	Allowance	Anthem 1
Anthem Blue Cross		OUT	Single Vision Lens	$30	Allowance	Anthem 1
Anthem Blue Cross		OUT	Bifocal Lens	$50	Allowance	Anthem 1
Anthem Blue Cross		OUT	Trifocal Lens	$65	Allowance	Anthem 1
Anthem Blue Cross		OUT	Lenticular Lenses	$80	Allowance	Anthem 1
Anthem Blue Cross		OUT	Contacts Elective	$130	Allowance	Anthem 1
Anthem Blue Cross		OUT	Contacts Therapeutic	$200	Allowance	Anthem 1
Anthem Blue Cross		OUT	Frames	$130	Allowance	Anthem 1
Anthem Blue Cross	VISION	IN	Exams Frequency 	24	months	Anthem 2
Anthem Blue Cross		IN	Lenses Frequency	24	months	Anthem 2
Anthem Blue Cross		IN	Frames Frequency	24	months	Anthem 2
Anthem Blue Cross		IN	Exam Copay	$30		Anthem 2
Anthem Blue Cross		IN	Materials Copay	n/a		Anthem 2
Anthem Blue Cross		IN	Vision Exam	 	Covered in Full	Anthem 2
Anthem Blue Cross		IN	Single Vision Lens	 	Covered in Full	Anthem 2
Anthem Blue Cross		IN	Bifocal Lens	 	Covered in Full	Anthem 2
Anthem Blue Cross		IN	Trifocal Lens	 	Covered in Full	Anthem 2
Anthem Blue Cross		IN	Lenticular Lenses	 	Covered in Full	Anthem 2
Anthem Blue Cross		IN	Contacts Elective	$130	Allowance	Anthem 2
Anthem Blue Cross		IN	Contacts Therapeutic	 	Covered in Full	Anthem 2
Anthem Blue Cross		IN	Frames	$130	Allowance	Anthem 2
Anthem Blue Cross		OUT	Exams Frequency 	24	months	Anthem 2
Anthem Blue Cross		OUT	Lenses Frequency	24	months	Anthem 2
Anthem Blue Cross		OUT	Frames Frequency	24	months	Anthem 2
Anthem Blue Cross		OUT	Exam Copay	 		Anthem 2
Anthem Blue Cross		OUT	Materials Copay	 		Anthem 2
Anthem Blue Cross		OUT	Vision Exam	$40	Allowance	Anthem 2
Anthem Blue Cross		OUT	Single Vision Lens	$25	Allowance	Anthem 2
Anthem Blue Cross		OUT	Bifocal Lens	$45	Allowance	Anthem 2
Anthem Blue Cross		OUT	Trifocal Lens	$60	Allowance	Anthem 2
Anthem Blue Cross		OUT	Lenticular Lenses	$70	Allowance	Anthem 2
Anthem Blue Cross		OUT	Contacts Elective	$120	Allowance	Anthem 2
Anthem Blue Cross		OUT	Contacts Therapeutic	$190	Allowance	Anthem 2
Anthem Blue Cross		OUT	Frames	$120	Allowance	Anthem 2
