Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Anthem Blue Cross	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Anthem 1
Anthem Blue Cross		IN	Employee Guarantee Issue	"$100,000"		Anthem 1
Anthem Blue Cross		IN	Employee Age Reduction		None	Anthem 1
Anthem Blue Cross		IN	Spouse Benefit	"$5,000"	"increments up to $100,000"	Anthem 1
Anthem Blue Cross		IN	Spouse Guarantee Issue	"$25,000"		Anthem 1
Anthem Blue Cross		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Anthem 1
Anthem Blue Cross		IN	Children Guarantee Issue	"$10,000"		Anthem 1
Anthem Blue Cross		IN	Voluntary Employee Benefit		Equals Life Benefit	Anthem 1
Anthem Blue Cross		IN	Voluntary Employee Guarantee Issue	"$100,000"		Anthem 1
Anthem Blue Cross		IN	Voluntary Spouse Benefit		Equals Life Benefit	Anthem 1
Anthem Blue Cross		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Anthem 1
Anthem Blue Cross		IN	Voluntary Children Benefit		Equals Life Benefit	Anthem 1
Anthem Blue Cross		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Anthem 1
Anthem Blue Cross		IN	Voluntary Children Age Reduction	"$10,000"		Anthem 1
Anthem Blue Cross	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Anthem 2
Anthem Blue Cross		IN	Employee Guarantee Issue	"$150,000"		Anthem 2
Anthem Blue Cross		IN	Employee Age Reduction		None	Anthem 2
Anthem Blue Cross		IN	Spouse Benefit	"$10,000"	"increments up to $100,000"	Anthem 2
Anthem Blue Cross		IN	Spouse Guarantee Issue	"$50,000"		Anthem 2
Anthem Blue Cross		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Anthem 2
Anthem Blue Cross		IN	Children Guarantee Issue	"$10,000"		Anthem 2
Anthem Blue Cross		IN	Voluntary Employee Benefit		Equals Life Benefit	Anthem 2
Anthem Blue Cross		IN	Voluntary Employee Guarantee Issue	"$100,000"		Anthem 2
Anthem Blue Cross		IN	Voluntary Spouse Benefit		Equals Life Benefit	Anthem 2
Anthem Blue Cross		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Anthem 2
Anthem Blue Cross		IN	Voluntary Children Benefit		Equals Life Benefit	Anthem 2
Anthem Blue Cross		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Anthem 2
Anthem Blue Cross		IN	Voluntary Children Age Reduction	"$10,000"		Anthem 2
