Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Cigna	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Cigna 1
Cigna		IN	Employee Guarantee Issue	"$100,000"		Cigna 1
Cigna		IN	Employee Age Reduction		None	Cigna 1
Cigna		IN	Spouse Benefit	"$5,000"	"increments up to $100,000"	Cigna 1
Cigna		IN	Spouse Guarantee Issue	"$25,000"		Cigna 1
Cigna		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Cigna 1
Cigna		IN	Children Guarantee Issue	"$10,000"		Cigna 1
Cigna		IN	Voluntary Employee Benefit		Equals Life Benefit	Cigna 1
Cigna		IN	Voluntary Employee Guarantee Issue	"$100,000"		Cigna 1
Cigna		IN	Voluntary Spouse Benefit		Equals Life Benefit	Cigna 1
Cigna		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Cigna 1
Cigna		IN	Voluntary Children Benefit		Equals Life Benefit	Cigna 1
Cigna		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Cigna 1
Cigna		IN	Voluntary Children Age Reduction	"$10,000"		Cigna 1
Cigna	VOLLIFE	IN	Employee Benefit	"$10,000"	"increments up to a max of 5x pay or $500,000"	Cigna 2
Cigna		IN	Employee Guarantee Issue	"$150,000"		Cigna 2
Cigna		IN	Employee Age Reduction		None	Cigna 2
Cigna		IN	Spouse Benefit	"$10,000"	"increments up to $100,000"	Cigna 2
Cigna		IN	Spouse Guarantee Issue	"$50,000"		Cigna 2
Cigna		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Cigna 2
Cigna		IN	Children Guarantee Issue	"$10,000"		Cigna 2
Cigna		IN	Voluntary Employee Benefit		Equals Life Benefit	Cigna 2
Cigna		IN	Voluntary Employee Guarantee Issue	"$100,000"		Cigna 2
Cigna		IN	Voluntary Spouse Benefit		Equals Life Benefit	Cigna 2
Cigna		IN	Voluntary Spouse Guarantee Issue	"$25,000"		Cigna 2
Cigna		IN	Voluntary Children Benefit		Equals Life Benefit	Cigna 2
Cigna		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Cigna 2
Cigna		IN	Voluntary Children Age Reduction	"$10,000"		Cigna 2
