Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Entire Network
Principal Financial Group	VOLLIFE	IN	Employee Benefit	"$10,000 "	"increments up to a max of 5x pay or $500,000"	Principal 1
Principal Financial Group		IN	Employee Guarantee Issue	"$100,000 "		Principal 1
Principal Financial Group		IN	Employee Age Reduction		None	Principal 1
Principal Financial Group		IN	Spouse Benefit	"$5,000 "	"increments up to $100,000"	Principal 1
Principal Financial Group		IN	Spouse Guarantee Issue	"$25,000 "		Principal 1
Principal Financial Group		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Principal 1
Principal Financial Group		IN	Children Guarantee Issue	"$10,000 "		Principal 1
Principal Financial Group		IN	Voluntary Employee Benefit		Equals Life Benefit	Principal 1
Principal Financial Group		IN	Voluntary Employee Guarantee Issue	"$100,000 "		Principal 1
Principal Financial Group		IN	Voluntary Spouse Benefit		Equals Life Benefit	Principal 1
Principal Financial Group		IN	Voluntary Spouse Guarantee Issue	"$25,000 "		Principal 1
Principal Financial Group		IN	Voluntary Children Benefit		Equals Life Benefit	Principal 1
Principal Financial Group		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Principal 1
Principal Financial Group		IN	Voluntary Children Age Reduction	"$10,000 "		Principal 1
Principal Financial Group	VOLLIFE	IN	Employee Benefit	"$10,000 "	"increments up to a max of 5x pay or $500,000"	Principal 2
Principal Financial Group		IN	Employee Guarantee Issue	"$150,000 "		Principal 2
Principal Financial Group		IN	Employee Age Reduction		None	Principal 2
Principal Financial Group		IN	Spouse Benefit	"$10,000 "	"increments up to $100,000"	Principal 2
Principal Financial Group		IN	Spouse Guarantee Issue	"$50,000 "		Principal 2
Principal Financial Group		IN	Children Benefit		"Age: 0 - 6 months: $1,000; Older than 6 months: Increments up to $10,000"	Principal 2
Principal Financial Group		IN	Children Guarantee Issue	"$10,000 "		Principal 2
Principal Financial Group		IN	Voluntary Employee Benefit		Equals Life Benefit	Principal 2
Principal Financial Group		IN	Voluntary Employee Guarantee Issue	"$100,000 "		Principal 2
Principal Financial Group		IN	Voluntary Spouse Benefit		Equals Life Benefit	Principal 2
Principal Financial Group		IN	Voluntary Spouse Guarantee Issue	"$25,000 "		Principal 2
Principal Financial Group		IN	Voluntary Children Benefit		Equals Life Benefit	Principal 2
Principal Financial Group		IN	Voluntary Children Guarantee Issue		Terminates at age 26	Principal 2
Principal Financial Group		IN	Voluntary Children Age Reduction	"$10,000 "		Principal 2
