Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Signature	Advantage	Alliance
United Health Care		IN	Individual Deductible	$0 		L0A	LHP	LJ7
United Health Care		IN	Family Deductible	$0 		L0A	LHP	LJ7
United Health Care		IN	Individual OOP Limit	"$1,500 "		L0A	LHP	LJ7
United Health Care		IN	Family OOP Limit	"$3,000 "		L0A	LHP	LJ7
United Health Care		IN	Co-insurance	100%		L0A	LHP	LJ7
United Health Care		IN	PCP	$10		L0A	LHP	LJ7
United Health Care		IN	Specialist	$20		L0A	LHP	LJ7
United Health Care		IN	Preventive Care	100%		L0A	LHP	LJ7
United Health Care		IN	Physical Therapy	$20 		L0A	LHP	LJ7
United Health Care		IN	Chiropractic Care		Rider available	L0A	LHP	LJ7
United Health Care		IN	Inpatient Hospital	100%		L0A	LHP	LJ7
United Health Care		IN	Outpatient Facility	100%		L0A	LHP	LJ7
United Health Care		IN	Outpatient Surgery	100%		L0A	LHP	LJ7
United Health Care		IN	Lab/X-Ray	100%		L0A	LHP	LJ7
United Health Care		IN	Advanced Radiology	$100 		L0A	LHP	LJ7
United Health Care		IN	Emergency Room	$150 	Waived if admitted	L0A	LHP	LJ7
United Health Care		IN	Ambulance	$50 		L0A	LHP	LJ7
United Health Care		IN	Urgent Care	$20 		L0A	LHP	LJ7
United Health Care		IN	Rx Generic		Separate from Medical 	L0A	LHP	LJ7
United Health Care		IN	Rx Preferred		Separate from Medical 	L0A	LHP	LJ7
United Health Care		IN	Rx Non-Preferred		Separate from Medical 	L0A	LHP	LJ7
United Health Care		IN	Rx Specialty		Separate from Medical 	L0A	LHP	LJ7
United Health Care		IN	Rx Mail Order	2x		L0A	LHP	LJ7
United Health Care		IN	Rx Individual Deductible		Separate from Medical 	L0A	LHP	LJ7
United Health Care		IN	Rx Family Deductible		Separate from Medical 	L0A	LHP	LJ7
United Health Care		IN	Skilled Nursing	100%	100 day max	L0A	LHP	LJ7
United Health Care		IN	Individual Deductible	0		LB1	LHS	L5J
United Health Care		IN	Family Deductible	0		LB1	LHS	L5J
United Health Care		IN	Individual OOP Limit	"$1,500 "		LB1	LHS	L5J
